lemmata EN;bn:id;wn_synset;Column4;description;confidence
acoustic_power;bn:00000981n;wn:5100866n;T;the physical intensity of sound;1.0000001192092896
acoustic_level;bn:00000981n;wn:5100866n;T;the physical intensity of sound;1.0000001192092896
acoustic_impedance;bn:00000976n;wn:11504478n;O;"opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component";1.0000001192092896
acoustic_reactance;bn:00000976n;wn:11504478n;O;"opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component";1.0000001192092896
acoustic_resistance;bn:00000976n;wn:11504478n;O;"opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component";1.0000001192092896
characteristic_acoustic_impedance;bn:00000976n;wn:11504478n;O;"opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component";1.0000001192092896
characteristic_impedance_of_a_medium_for_longitudinal_waves;bn:00000976n;wn:11504478n;O;"opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component";1.0000001192092896
characteristic_impedance_of_a_medium;bn:00000976n;wn:11504478n;O;"opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component";1.0000001192092896
acoustical_impedance;bn:00000976n;wn:11504478n;O;"opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component";1.0000001192092896
characteristic_specific_acoustic_impedance;bn:00000976n;wn:11504478n;O;"opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component";1.0000001192092896
radiation_impedence;bn:00000976n;wn:11504478n;O;"opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component";1.0000001192092896
impedance_curve;bn:00000976n;wn:11504478n;O;"opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component";1.0000001192092896
sound_impedance;bn:00000976n;wn:11504478n;O;"opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component";1.0000001192092896
volume_velocity;bn:00000976n;wn:11504478n;O;"opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component";1.0000001192092896
specific_acoustic_impedance;bn:00000976n;wn:11504478n;O;"opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component";1.0000001192092896
acoustician;bn:00000987n;wn:9763668n;A;a physicist who specializes in acoustics;1.0
acoustic_radiation_pressure;bn:00000983n;wn:5100981n;(;(acoustics) the pressure exerted on a surface normal to the direction of propagation of a sound wave;1.0000001192092896
ear_canal;bn:00000977n;wn:5248667n;E;either of the passages in the outer ear from the auricle to the tympanic membrane;1.0000001192092896
external_auditory_canal;bn:00000977n;wn:5248667n;E;either of the passages in the outer ear from the auricle to the tympanic membrane;1.0000001192092896
auditory_canal;bn:00000977n;wn:5248667n;E;either of the passages in the outer ear from the auricle to the tympanic membrane;1.0000001192092896
acoustic_meatus;bn:00000977n;wn:5248667n;E;either of the passages in the outer ear from the auricle to the tympanic membrane;1.0000001192092896
external_auditory_meatus;bn:00000977n;wn:5248667n;E;either of the passages in the outer ear from the auricle to the tympanic membrane;1.0000001192092896
auditory_meatus;bn:00000977n;wn:5248667n;E;either of the passages in the outer ear from the auricle to the tympanic membrane;1.0000001192092896
external_acoustic_meatus;bn:00000977n;wn:5248667n;E;either of the passages in the outer ear from the auricle to the tympanic membrane;1.0000001192092896
meatus_acusticus_externus;bn:00000977n;wn:5248667n;E;either of the passages in the outer ear from the auricle to the tympanic membrane;1.0000001192092896
ear_canals;bn:00000977n;wn:5248667n;E;either of the passages in the outer ear from the auricle to the tympanic membrane;1.0000001192092896
external_ear_canal;bn:00000977n;wn:5248667n;E;either of the passages in the outer ear from the auricle to the tympanic membrane;1.0000001192092896
external_acoustic_meatis;bn:00000977n;wn:5248667n;E;either of the passages in the outer ear from the auricle to the tympanic membrane;1.0000001192092896
external_ear_canals;bn:00000977n;wn:5248667n;E;either of the passages in the outer ear from the auricle to the tympanic membrane;1.0000001192092896
external_acoustic_canal;bn:00000977n;wn:5248667n;E;either of the passages in the outer ear from the auricle to the tympanic membrane;1.0000001192092896
sound_spectrum;bn:00000984n;wn:11510714n;T;the distribution of energy as a function of frequency for a particular sound source;1.0000001192092896
acoustic_spectrum;bn:00000984n;wn:11510714n;T;the distribution of energy as a function of frequency for a particular sound source;1.0000001192092896
phonophobia;bn:00000988n;wn:14384227n;A;a morbid fear of sounds including your own voice;1.0
acousticophobia;bn:00000988n;wn:14384227n;A;a morbid fear of sounds including your own voice;1.0
sonophobia;bn:00000988n;wn:14384227n;A;a morbid fear of sounds including your own voice;1.0
fear_of_sounds;bn:00000988n;wn:14384227n;A;a morbid fear of sounds including your own voice;1.0
phonophobe;bn:00000988n;wn:14384227n;A;a morbid fear of sounds including your own voice;1.0
aversion_to_sounds;bn:00000988n;wn:14384227n;A;a morbid fear of sounds including your own voice;1.0
ligyrophobia;bn:00000988n;wn:14384227n;A;a morbid fear of sounds including your own voice;1.0
fear_of_noise;bn:00000988n;wn:14384227n;A;a morbid fear of sounds including your own voice;1.0
hypersensitivity_to_sounds;bn:00000988n;wn:14384227n;A;a morbid fear of sounds including your own voice;1.0
fear_of_voices;bn:00000988n;wn:14384227n;A;a morbid fear of sounds including your own voice;1.0
fear_of_loud_sounds;bn:00000988n;wn:14384227n;A;a morbid fear of sounds including your own voice;1.0
phono_phobia;bn:00000988n;wn:14384227n;A;a morbid fear of sounds including your own voice;1.0
phonobia;bn:00000988n;wn:14384227n;A;a morbid fear of sounds including your own voice;1.0
acoustics;bn:00000989n;wn:6094774n;T;the study of the physical properties of sound;1.0000001192092896
acoustical_science;bn:00000989n;wn:6094774n;T;the study of the physical properties of sound;1.0000001192092896
acoustic_sensor;bn:00000989n;wn:6094774n;T;the study of the physical properties of sound;1.0000001192092896
acoustical_data;bn:00000989n;wn:6094774n;T;the study of the physical properties of sound;1.0000001192092896
acoustical;bn:00000989n;wn:6094774n;T;the study of the physical properties of sound;1.0000001192092896
history_of_acoustics;bn:00000989n;wn:6094774n;T;the study of the physical properties of sound;1.0000001192092896
acoustic_measurements_and_instrumentation;bn:00000989n;wn:6094774n;T;the study of the physical properties of sound;1.0000001192092896
subdisciplines_of_acoustics;bn:00000989n;wn:6094774n;T;the study of the physical properties of sound;1.0000001192092896
acustica;bn:00000989n;wn:6094774n;T;the study of the physical properties of sound;1.0000001192092896
mechanical_radiation;bn:00000989n;wn:6094774n;T;the study of the physical properties of sound;1.0000001192092896
sound_wave;bn:00000986n;wn:7347224n;(;(acoustics) a wave that transmits sound;1.0
acoustic_wave;bn:00000986n;wn:7347224n;(;(acoustics) a wave that transmits sound;1.0
sound_propagation;bn:00000986n;wn:7347224n;(;(acoustics) a wave that transmits sound;1.0
sound;bn:00000986n;wn:7347224n;(;(acoustics) a wave that transmits sound;1.0
pressure_wave;bn:00000986n;wn:7347224n;(;(acoustics) a wave that transmits sound;1.0
adagio;bn:00001238n;wn:526259n;A;a slow section of a pas de deux requiring great skill and strength by the dancers;1.0
hem;bn:00002139n;wn:7126521n;T;"the utterance of a sound similar to clearing the throat; intended to get attention, express hesitancy, fill a pause, hide embarrassment, warn a friend, etc.";1.0
ahem;bn:00002139n;wn:7126521n;T;"the utterance of a sound similar to clearing the throat; intended to get attention, express hesitancy, fill a pause, hide embarrassment, warn a friend, etc.";1.0
air_alert;bn:00002201n;wn:6803023n;T;the warning signal that begins a period of preparation for an enemy air attack;1.0
air_horn;bn:00002234n;wn:2689748n;A;a pneumatic horn;1.0000001192092896
goal_horn;bn:00002234n;wn:2689748n;A;a pneumatic horn;1.0000001192092896
handy_horn;bn:00002234n;wn:2689748n;A;a pneumatic horn;1.0000001192092896
rape_horn;bn:00002234n;wn:2689748n;A;a pneumatic horn;1.0000001192092896
gas_horn;bn:00002234n;wn:2689748n;A;a pneumatic horn;1.0000001192092896
airhorn;bn:00002234n;wn:2689748n;A;a pneumatic horn;1.0000001192092896
alarm_bell;bn:00002414n;wn:7265886n;T;the sound of an alarm (usually a bell);1.000000238418579
tocsin;bn:00002414n;wn:7265886n;T;the sound of an alarm (usually a bell);1.000000238418579
all_clear;bn:00002798n;wn:6804097n;A;a signal (usually a siren) that danger is over;1.0
alto;bn:00003148n;wn:4986637n;(;(of a musical instrument) the second highest instrument in a family of musical instruments;1.0
alto;bn:00003149n;wn:4986526n;T;the pitch range of the lowest female voice;1.0
plagal_cadence;bn:00003327n;wn:7046030n;A;a cadence (frequently ending church music) in which the chord of the subdominant precedes the chord of the tonic;1.0000001192092896
amen_cadence;bn:00003327n;wn:7046030n;A;a cadence (frequently ending church music) in which the chord of the subdominant precedes the chord of the tonic;1.0000001192092896
anechoic_chamber;bn:00004023n;wn:2710324n;A;a chamber having very little reverberation;1.0000001192092896
angelus_bell;bn:00004083n;wn:7446744n;T;the sound of a bell rung in Roman Catholic churches to announce the time when the Angelus should be recited;1.0
angelus;bn:00004083n;wn:7446744n;T;the sound of a bell rung in Roman Catholic churches to announce the time when the Angelus should be recited;1.0
antiphonary;bn:00004715n;wn:7034516n;B;bound collection of antiphons;0.9999998807907104
antiphonal;bn:00004715n;wn:7034516n;B;bound collection of antiphons;0.9999998807907104
antiphonaries;bn:00004715n;wn:7034516n;B;bound collection of antiphons;0.9999998807907104
antiphoner;bn:00004715n;wn:7034516n;B;bound collection of antiphons;0.9999998807907104
vesperale_romanum;bn:00004715n;wn:7034516n;B;bound collection of antiphons;0.9999998807907104
antiphonel;bn:00004715n;wn:7034516n;B;bound collection of antiphons;0.9999998807907104
apache_devil_dance;bn:00004828n;wn:541972n;A;a ritual dance of the Apache;1.0
apache_dance;bn:00004827n;wn:530386n;A;a violent fast dance in French vaudeville (an apache is a member of the French underworld);1.0000001192092896
apache;bn:00004827n;wn:530386n;A;a violent fast dance in French vaudeville (an apache is a member of the French underworld);1.0000001192092896
la_danse_apache;bn:00004827n;wn:530386n;A;a violent fast dance in French vaudeville (an apache is a member of the French underworld);1.0000001192092896
apache_turn;bn:00004827n;wn:530386n;A;a violent fast dance in French vaudeville (an apache is a member of the French underworld);1.0000001192092896
tough_dance;bn:00004827n;wn:530386n;A;a violent fast dance in French vaudeville (an apache is a member of the French underworld);1.0000001192092896
bowery_waltz;bn:00004827n;wn:530386n;A;a violent fast dance in French vaudeville (an apache is a member of the French underworld);1.0000001192092896
applauder;bn:00005052n;wn:9926088n;S;someone who applauds;1.0
clapper;bn:00005052n;wn:9926088n;S;someone who applauds;1.0
whip;bn:00005052n;wn:9926088n;S;someone who applauds;1.0
slapstick;bn:00005052n;wn:9926088n;S;someone who applauds;1.0
arabesque;bn:00005256n;wn:5081802n;P;position in which the dancer has one leg raised behind and arms outstretched in a conventional pose;1.0
arabesque_penché;bn:00005256n;wn:5081802n;P;position in which the dancer has one leg raised behind and arms outstretched in a conventional pose;1.0
arabesque_penchée;bn:00005256n;wn:5081802n;P;position in which the dancer has one leg raised behind and arms outstretched in a conventional pose;1.0
artiste;bn:00006186n;wn:9813126n;A;a public performer (a dancer or singer);1.0
attack;bn:00006998n;wn:236953n;A;a decisive manner of beginning a musical tone or phrase;1.0000001192092896
tone-beginning;bn:00006998n;wn:236953n;A;a decisive manner of beginning a musical tone or phrase;1.0000001192092896
hearer;bn:00007019n;wn:10165448n;S;someone who listens attentively;1.000000238418579
listener;bn:00007019n;wn:10165448n;S;someone who listens attentively;1.000000238418579
auditor;bn:00007019n;wn:10165448n;S;someone who listens attentively;1.000000238418579
attender;bn:00007019n;wn:10165448n;S;someone who listens attentively;1.000000238418579
audibility;bn:00007094n;wn:5018934n;Q;quality or fact or degree of being audible or perceptible by the ear;1.000000238418579
audibleness;bn:00007094n;wn:5018934n;Q;quality or fact or degree of being audible or perceptible by the ear;1.000000238418579
audio;bn:00007104n;wn:2756751n;T;the sound elements of television;1.0
audiocassette;bn:00007109n;wn:2756977n;A;a cassette for audiotape;1.0
audio_amplifier;bn:00007105n;wn:2756854n;A;an amplifier that increases the amplitude of reproduced sound;1.0
amplifier;bn:00007105n;wn:2756854n;A;an amplifier that increases the amplitude of reproduced sound;1.0
audio_frequency;bn:00007102n;wn:5056386n;A;an audible acoustic wave frequency;1.0000001192092896
audio;bn:00007102n;wn:5056386n;A;an audible acoustic wave frequency;1.0000001192092896
audible_frequency;bn:00007102n;wn:5056386n;A;an audible acoustic wave frequency;1.0000001192092896
sound_frequency;bn:00007102n;wn:5056386n;A;an audible acoustic wave frequency;1.0000001192092896
audio-frequency;bn:00007102n;wn:5056386n;A;an audible acoustic wave frequency;1.0000001192092896
af;bn:00007102n;wn:5056386n;A;an audible acoustic wave frequency;1.0000001192092896
audio_frequencies;bn:00007102n;wn:5056386n;A;an audible acoustic wave frequency;1.0000001192092896
audio_cd;bn:00007106n;wn:2757061n;C;compact discs used to reproduce sound (voice and music);1.0
audio_compact_disc;bn:00007106n;wn:2757061n;C;compact discs used to reproduce sound (voice and music);1.0
auditory_apparatus;bn:00007126n;wn:5300675n;A;all of the components of the organ of hearing including the outer and middle and inner ears;1.000000238418579
auditory_center;bn:00007128n;wn:5463873n;T;the part of the brain (in a fold of the cerebral cortex of the temporal lobe on both sides of the brain) that receives impulses from the ear by way of the auditory nerve;0.9999999403953552
auditory_ossicle;bn:00007132n;wn:5277941n;O;ossicles of the middle ear that transmit acoustic vibrations from the eardrum to the inner ear;0.9999998807907104
auditory_cortex;bn:00007127n;wn:5488223n;T;the cortical area that receives auditory information from the medial geniculate body;1.000000238418579
primary_auditory_cortex;bn:00007127n;wn:5488223n;T;the cortical area that receives auditory information from the medial geniculate body;1.000000238418579
auditory_area;bn:00007127n;wn:5488223n;T;the cortical area that receives auditory information from the medial geniculate body;1.000000238418579
a1;bn:00007127n;wn:5488223n;T;the cortical area that receives auditory information from the medial geniculate body;1.000000238418579
secondary_auditory_cortex;bn:00007127n;wn:5488223n;T;the cortical area that receives auditory information from the medial geniculate body;1.000000238418579
posterior_transverse_temporal_area_42;bn:00007127n;wn:5488223n;T;the cortical area that receives auditory information from the medial geniculate body;1.000000238418579
anterior_transverse_temporal_area_41;bn:00007127n;wn:5488223n;T;the cortical area that receives auditory information from the medial geniculate body;1.000000238418579
auditory_processing;bn:00007127n;wn:5488223n;T;the cortical area that receives auditory information from the medial geniculate body;1.000000238418579
hyperacusis;bn:00007130n;wn:14551321n;A;"abnormal acuteness of hearing due to increased irritability of the sensory neural mechanism; characterized by intolerance for ordinary sound levels";1.0000001192092896
hyperacusia;bn:00007130n;wn:14551321n;A;"abnormal acuteness of hearing due to increased irritability of the sensory neural mechanism; characterized by intolerance for ordinary sound levels";1.0000001192092896
auditory_hyperesthesia;bn:00007130n;wn:14551321n;A;"abnormal acuteness of hearing due to increased irritability of the sensory neural mechanism; characterized by intolerance for ordinary sound levels";1.0000001192092896
hyperacousis;bn:00007130n;wn:14551321n;A;"abnormal acuteness of hearing due to increased irritability of the sensory neural mechanism; characterized by intolerance for ordinary sound levels";1.0000001192092896
auditorium;bn:00007124n;wn:2758134n;T;the area of a theater or concert hall where the audience sits;1.0000001192092896
auditoriums;bn:00007124n;wn:2758134n;T;the area of a theater or concert hall where the audience sits;1.0000001192092896
auditoria;bn:00007124n;wn:2758134n;T;the area of a theater or concert hall where the audience sits;1.0000001192092896
auditorium_site;bn:00007124n;wn:2758134n;T;the area of a theater or concert hall where the audience sits;1.0000001192092896
imperial_box;bn:00007124n;wn:2758134n;T;the area of a theater or concert hall where the audience sits;1.0000001192092896
screens;bn:00007124n;wn:2758134n;T;the area of a theater or concert hall where the audience sits;1.0000001192092896
continental_seating;bn:00007124n;wn:2758134n;T;the area of a theater or concert hall where the audience sits;1.0000001192092896
hearing;bn:00007120n;wn:5657718n;T;"the ability to hear; the auditory faculty";1.0
auditory_sense;bn:00007120n;wn:5657718n;T;"the ability to hear; the auditory faculty";1.0
sense_of_hearing;bn:00007120n;wn:5657718n;T;"the ability to hear; the auditory faculty";1.0
audition;bn:00007120n;wn:5657718n;T;"the ability to hear; the auditory faculty";1.0
auditory_modality;bn:00007120n;wn:5657718n;T;"the ability to hear; the auditory faculty";1.0
human_hearing;bn:00007120n;wn:5657718n;T;"the ability to hear; the auditory faculty";1.0
auditive_perception;bn:00007120n;wn:5657718n;T;"the ability to hear; the auditory faculty";1.0
hear;bn:00007120n;wn:5657718n;T;"the ability to hear; the auditory faculty";1.0
hearing_protection;bn:00007120n;wn:5657718n;T;"the ability to hear; the auditory faculty";1.0
art_of_listenning;bn:00007120n;wn:5657718n;T;"the ability to hear; the auditory faculty";1.0
aural;bn:00007120n;wn:5657718n;T;"the ability to hear; the auditory faculty";1.0
auditory_perception;bn:00007120n;wn:5657718n;T;"the ability to hear; the auditory faculty";1.0
audioception;bn:00007120n;wn:5657718n;T;"the ability to hear; the auditory faculty";1.0
ear_protection_device;bn:00007120n;wn:5657718n;T;"the ability to hear; the auditory faculty";1.0
ear_protective_devices;bn:00007120n;wn:5657718n;T;"the ability to hear; the auditory faculty";1.0
ear_protective_device;bn:00007120n;wn:5657718n;T;"the ability to hear; the auditory faculty";1.0
underwater_hearing;bn:00007120n;wn:5657718n;T;"the ability to hear; the auditory faculty";1.0
hooter;bn:00007377n;wn:2761834n;A;a device on an automobile for making a warning noise;0.9999998807907104
automobile_horn;bn:00007377n;wn:2761834n;A;a device on an automobile for making a warning noise;1.0
horn;bn:00007377n;wn:2761834n;A;a device on an automobile for making a warning noise;0.9999998807907104
car_horn;bn:00007377n;wn:2761834n;A;a device on an automobile for making a warning noise;0.9999998807907104
motor_horn;bn:00007377n;wn:2761834n;A;a device on an automobile for making a warning noise;0.9999998807907104
bel;bn:00007596n;wn:13713521n;A;a logarithmic unit of sound intensity equal to 10 decibels;1.0
b;bn:00007596n;wn:13713521n;A;a logarithmic unit of sound intensity equal to 10 decibels;1.0
licorice_stick;bn:00007601n;wn:2834027n;T;the ordinary clarinet with a middle range;1.0000001192092896
b-flat_clarinet;bn:00007601n;wn:2834027n;T;the ordinary clarinet with a middle range;1.0000001192092896
baa;bn:00007613n;wn:7376168n;T;the cry made by sheep;1.0000001192092896
babel;bn:00007635n;wn:379993n;A;a confusion of voices and other sounds;1.0
parlor_grand_piano;bn:00007665n;wn:2766792n;A;a small grand piano;1.0
parlor_grand;bn:00007665n;wn:2766792n;A;a small grand piano;1.0
baby_grand_piano;bn:00007665n;wn:2766792n;A;a small grand piano;1.0
parlour_grand;bn:00007665n;wn:2766792n;A;a small grand piano;1.0
parlour_grand_piano;bn:00007665n;wn:2766792n;A;a small grand piano;1.0
baby_grand;bn:00007665n;wn:2766792n;A;a small grand piano;1.0
backfire;bn:00007775n;wn:7408621n;A;a loud noise made by the explosion of fuel in the manifold or exhaust of an internal combustion engine;1.0000001192092896
background_noise;bn:00007789n;wn:7430770n;E;extraneous noise contaminating sound measurements that cannot be separated from the desired signal;1.0000001192092896
ground_noise;bn:00007789n;wn:7430770n;E;extraneous noise contaminating sound measurements that cannot be separated from the desired signal;1.0000001192092896
ambient_noise;bn:00007789n;wn:7430770n;E;extraneous noise contaminating sound measurements that cannot be separated from the desired signal;1.0000001192092896
background_level;bn:00007788n;wn:5098620n;T;the amplitude level of the undesired background noise;1.0
noise_level;bn:00007788n;wn:5098620n;T;the amplitude level of the undesired background noise;1.0
ball;bn:00008123n;wn:8253268n;T;the people assembled at a lavish formal dance;0.9999999403953552
ball;bn:00008128n;wn:7448885n;A;a lavish dance requiring formal attire;0.9999998807907104
formal;bn:00008128n;wn:7448885n;A;a lavish dance requiring formal attire;0.9999998807907104
ball_dance;bn:00008128n;wn:7448885n;A;a lavish dance requiring formal attire;0.9999998807907104
balls;bn:00008128n;wn:7448885n;A;a lavish dance requiring formal attire;0.9999998807907104
charity_ball;bn:00008128n;wn:7448885n;A;a lavish dance requiring formal attire;0.9999998807907104
society_ball;bn:00008128n;wn:7448885n;A;a lavish dance requiring formal attire;0.9999998807907104
ballet_mistress;bn:00008170n;wn:9835017n;A;a woman who directs and teaches and rehearses dancers for a ballet company;1.0
ballerina;bn:00008164n;wn:9834592n;A;a female ballet dancer;1.0
danseuse;bn:00008164n;wn:9834592n;A;a female ballet dancer;1.0
ballet_position;bn:00008171n;wn:5080382n;C;classical position of the body and especially the feet in ballet;1.0
ballet_master;bn:00008169n;wn:9834885n;A;a man who directs and teaches and rehearses dancers for a ballet company;1.0
premier_maître_de_ballet;bn:00008169n;wn:9834885n;A;a man who directs and teaches and rehearses dancers for a ballet company;1.0
premier_maitre_de_ballet;bn:00008169n;wn:9834885n;A;a man who directs and teaches and rehearses dancers for a ballet company;1.0
balletmaster;bn:00008169n;wn:9834885n;A;a man who directs and teaches and rehearses dancers for a ballet company;1.0
maitre_de_ballet;bn:00008169n;wn:9834885n;A;a man who directs and teaches and rehearses dancers for a ballet company;1.0
maître_de_ballet;bn:00008169n;wn:9834885n;A;a man who directs and teaches and rehearses dancers for a ballet company;1.0
premier_maitre_de_ballet_en_chef;bn:00008169n;wn:9834885n;A;a man who directs and teaches and rehearses dancers for a ballet company;1.0
maître_de_ballet_en_chef;bn:00008169n;wn:9834885n;A;a man who directs and teaches and rehearses dancers for a ballet company;1.0
maitre_de_ballet_en_chef;bn:00008169n;wn:9834885n;A;a man who directs and teaches and rehearses dancers for a ballet company;1.0
balletmasters;bn:00008169n;wn:9834885n;A;a man who directs and teaches and rehearses dancers for a ballet company;1.0
premier_maître_de_ballet_en_chef;bn:00008169n;wn:9834885n;A;a man who directs and teaches and rehearses dancers for a ballet company;1.0
ballet_mistresses;bn:00008169n;wn:9834885n;A;a man who directs and teaches and rehearses dancers for a ballet company;1.0
paul_talgioni;bn:00008169n;wn:9834885n;A;a man who directs and teaches and rehearses dancers for a ballet company;1.0
maría_de_ávila;bn:00008169n;wn:9834885n;A;a man who directs and teaches and rehearses dancers for a ballet company;1.0
ballet_masters;bn:00008169n;wn:9834885n;A;a man who directs and teaches and rehearses dancers for a ballet company;1.0
paul_taglioni;bn:00008169n;wn:9834885n;A;a man who directs and teaches and rehearses dancers for a ballet company;1.0
maria_de_avila;bn:00008169n;wn:9834885n;A;a man who directs and teaches and rehearses dancers for a ballet company;1.0
balletomane;bn:00008173n;wn:9835153n;A;a ballet enthusiast;1.0000001192092896
ballet_company;bn:00008167n;wn:8187707n;A;a company that produces ballets;1.0
ballet_companies_in_france;bn:00008167n;wn:8187707n;A;a company that produces ballets;1.0
ballet_companies_in_canada;bn:00008167n;wn:8187707n;A;a company that produces ballets;1.0
ballet_companies_in_denmark;bn:00008167n;wn:8187707n;A;a company that produces ballets;1.0
ballet_companies_in_korea;bn:00008167n;wn:8187707n;A;a company that produces ballets;1.0
ballet_companies_in_sweden;bn:00008167n;wn:8187707n;A;a company that produces ballets;1.0
ballet_companies_in_china;bn:00008167n;wn:8187707n;A;a company that produces ballets;1.0
ballet_companies_in_italy;bn:00008167n;wn:8187707n;A;a company that produces ballets;1.0
ballet_companies_in_switzerland;bn:00008167n;wn:8187707n;A;a company that produces ballets;1.0
ballet_companies_in_the_philippines;bn:00008167n;wn:8187707n;A;a company that produces ballets;1.0
ballet_companies_in_australia;bn:00008167n;wn:8187707n;A;a company that produces ballets;1.0
ballet_companies_in_the_united_kingdom;bn:00008167n;wn:8187707n;A;a company that produces ballets;1.0
ballet_companies;bn:00008167n;wn:8187707n;A;a company that produces ballets;1.0
ballet_dancer;bn:00008168n;wn:9834699n;A;a trained dancer who is a member of a ballet company;1.0
ballerina;bn:00008168n;wn:9834699n;A;a trained dancer who is a member of a ballet company;1.0
ballet_dancers;bn:00008168n;wn:9834699n;A;a trained dancer who is a member of a ballet company;1.0
prima_ballerinas;bn:00008168n;wn:9834699n;A;a trained dancer who is a member of a ballet company;1.0
premier_sujet;bn:00008168n;wn:9834699n;A;a trained dancer who is a member of a ballet company;1.0
primae_ballerinae;bn:00008168n;wn:9834699n;A;a trained dancer who is a member of a ballet company;1.0
ballarina_dancer;bn:00008168n;wn:9834699n;A;a trained dancer who is a member of a ballet company;1.0
coryphee;bn:00008168n;wn:9834699n;A;a trained dancer who is a member of a ballet company;1.0
ballerinos;bn:00008168n;wn:9834699n;A;a trained dancer who is a member of a ballet company;1.0
coryphée;bn:00008168n;wn:9834699n;A;a trained dancer who is a member of a ballet company;1.0
ballerino;bn:00008168n;wn:9834699n;A;a trained dancer who is a member of a ballet company;1.0
primera_bailarina;bn:00008168n;wn:9834699n;A;a trained dancer who is a member of a ballet company;1.0
premiere_danseuse;bn:00008168n;wn:9834699n;A;a trained dancer who is a member of a ballet company;1.0
absoluta;bn:00008168n;wn:9834699n;A;a trained dancer who is a member of a ballet company;1.0
premier_danseur_noble;bn:00008168n;wn:9834699n;A;a trained dancer who is a member of a ballet company;1.0
danseurs;bn:00008168n;wn:9834699n;A;a trained dancer who is a member of a ballet company;1.0
assolutas;bn:00008168n;wn:9834699n;A;a trained dancer who is a member of a ballet company;1.0
ballarina_dancers;bn:00008168n;wn:9834699n;A;a trained dancer who is a member of a ballet company;1.0
sujet;bn:00008168n;wn:9834699n;A;a trained dancer who is a member of a ballet company;1.0
ballerinas;bn:00008168n;wn:9834699n;A;a trained dancer who is a member of a ballet company;1.0
ballet;bn:00008165n;wn:528667n;A;a theatrical representation of a story that is performed to music by trained dancers;1.0
concert_dance;bn:00008165n;wn:528667n;A;a theatrical representation of a story that is performed to music by trained dancers;1.0
theatre_dance;bn:00008165n;wn:528667n;A;a theatrical representation of a story that is performed to music by trained dancers;1.0
