wn_synset,bn:id,pos,lemmata EN,definition,lemmata FR,is it related to music?
,bn:00000988n,,"phonophobia, acousticophobia, sonophobia, ligyrophobia, fear_of_sounds, phonophobe, aversion_to_sounds, fear_of_noise, hypersensitivity_to_sounds, fear_of_voices, fear_of_loud_sounds, phono_phobia, phonobia",A morbid fear of sounds including your own voice,phonophobie,YES
,bn:00000988n,,"phonophobia, acousticophobia, sonophobia, ligyrophobia, fear_of_sounds, phonophobe, aversion_to_sounds, fear_of_noise, hypersensitivity_to_sounds, fear_of_voices, fear_of_loud_sounds, phono_phobia, phonobia",A morbid fear of sounds including your own voice,audiophobie,YES
,bn:00000988n,,"phonophobia, acousticophobia, sonophobia, ligyrophobia, fear_of_sounds, phonophobe, aversion_to_sounds, fear_of_noise, hypersensitivity_to_sounds, fear_of_voices, fear_of_loud_sounds, phono_phobia, phonobia",A morbid fear of sounds including your own voice,acousticophobie,YES
,bn:00000989n,,"acoustics, acoustical_science, acoustic_sensor, acoustical_data, acoustical, history_of_acoustics, acoustic_measurements_and_instrumentation, subdisciplines_of_acoustics, acustica, mechanical_radiation",The study of the physical properties of sound,acoustique,YES
,bn:00000989n,,"acoustics, acoustical_science, acoustic_sensor, acoustical_data, acoustical, history_of_acoustics, acoustic_measurements_and_instrumentation, subdisciplines_of_acoustics, acustica, mechanical_radiation",The study of the physical properties of sound,acousticien,YES
,bn:00001238n,,adagio,A slow section of a pas de deux requiring great skill and strength by the dancers,adagio,YES
,bn:00002139n,,"hem, ahem","The utterance of a sound similar to clearing the throat; intended to get attention, express hesitancy, fill a pause, hide embarrassment, warn a friend, etc.",hum,YES
,bn:00002139n,,"hem, ahem","The utterance of a sound similar to clearing the throat; intended to get attention, express hesitancy, fill a pause, hide embarrassment, warn a friend, etc.",hum!,YES
,bn:00002139n,,"hem, ahem","The utterance of a sound similar to clearing the throat; intended to get attention, express hesitancy, fill a pause, hide embarrassment, warn a friend, etc.",hem,YES
,bn:00002201n,,air_alert,The warning signal that begins a period of preparation for an enemy air attack,alerte_aérienne,YES
,bn:00002234n,,"air_horn, goal_horn, handy_horn, rape_horn, gas_horn, airhorn",A pneumatic horn,corne_de_brume_à_gaz,YES
,bn:00002234n,,"air_horn, goal_horn, handy_horn, rape_horn, gas_horn, airhorn",A pneumatic horn,avertisseur_pneumatique,YES
,bn:00002234n,,"air_horn, goal_horn, handy_horn, rape_horn, gas_horn, airhorn",A pneumatic horn,avertisseur_sonore,YES
,bn:00002234n,,"air_horn, goal_horn, handy_horn, rape_horn, gas_horn, airhorn",A pneumatic horn,corne_de_brume,YES
,bn:00002234n,,"air_horn, goal_horn, handy_horn, rape_horn, gas_horn, airhorn",A pneumatic horn,klaxon,YES
,bn:00002414n,,"alarm_bell, tocsin",The sound of an alarm (usually a bell),sonnerie_d'alarme,YES
,bn:00002414n,,"alarm_bell, tocsin",The sound of an alarm (usually a bell),tocsin,YES
,bn:00002798n,,all_clear,A signal (usually a siren) that danger is over,fin_d'alerte,YES
,bn:00002798n,,all_clear,A signal (usually a siren) that danger is over,signal_de_fin_d'alerte,YES
,bn:00002829n,,allegro_con_spirito,Lively with spirit,allegro_con_spirito,YES
,bn:00003148n,,alto,(of a musical instrument) the second highest instrument in a family of musical instruments,alto,YES
,bn:00003149n,,alto,The pitch range of the lowest female voice,alto,YES
,bn:00003327n,,"plagal_cadence, amen_cadence",A cadence (frequently ending church music) in which the chord of the subdominant precedes the chord of the tonic,cadence_plagale,YES
,bn:00003327n,,"plagal_cadence, amen_cadence",A cadence (frequently ending church music) in which the chord of the subdominant precedes the chord of the tonic,cadence_Amen,YES
,bn:00004023n,,anechoic_chamber,A chamber having very little reverberation,chambre_anéchoïque,YES
,bn:00004023n,,anechoic_chamber,A chamber having very little reverberation,chambre_sourde,YES
,bn:00004083n,,"angelus_bell, angelus",The sound of a bell rung in Roman Catholic churches to announce the time when the Angelus should be recited,angélus,YES
,bn:00004715n,,"antiphonary, antiphonal, antiphony, antiphoner, vesperale_romanum, antiphonel, antiphonaries",Bound collection of antiphons,antiphonaire,YES
,bn:00004715n,,"antiphonary, antiphonal, antiphony, antiphoner, vesperale_romanum, antiphonel, antiphonaries",Bound collection of antiphons,antiphonier,YES
,bn:00004827n,,"apache_dance, apache, la_danse_apache, apache_turn, tough_dance, bowery_waltz",A violent fast dance in French vaudeville (an apache is a member of the French underworld),chaloupée,YES
,bn:00005052n,,"whip, slapstick, applauder, clapper",Someone who applauds,fouet,YES
,bn:00005256n,,"arabesque, arabesque_penché, arabesque_penchée",Position in which the dancer has one leg raised behind and arms outstretched in a conventional pose,arabesque,YES
,bn:00006186n,,artist,A public performer (a dancer or singer),artiste,YES
,bn:00006998n,,"attack, tone-beginning",A decisive manner of beginning a musical tone or phrase,attaque,YES
,bn:00007019n,,"listener, good_listener, hearer, auditor, attender",Someone who listens attentively,auditeur,YES
,bn:00007019n,,"listener, good_listener, hearer, auditor, attender",Someone who listens attentively,auditrice,YES
,bn:00007019n,,"listener, good_listener, hearer, auditor, attender",Someone who listens attentively,écoutant,YES
,bn:00007019n,,"listener, good_listener, hearer, auditor, attender",Someone who listens attentively,écoutante,YES
,bn:00007019n,,"listener, good_listener, hearer, auditor, attender",Someone who listens attentively,écouteur,YES
,bn:00007094n,,"audibility, audibleness",Quality or fact or degree of being audible or perceptible by the ear,audibilité,YES
,bn:00007102n,,"audio_frequency, audible_frequency, sound_frequency, AF, A.F., audio, audio_frequencies, af, audio-frequency",An audible acoustic wave frequency,audiofréquence,YES
,bn:00007102n,,"audio_frequency, audible_frequency, sound_frequency, AF, A.F., audio, audio_frequencies, af, audio-frequency",An audible acoustic wave frequency,A.F.,YES
,bn:00007104n,,audio,The sound elements of television,son,YES
,bn:00007105n,,"audio_amplifier, amplifier",An amplifier that increases the amplitude of reproduced sound,amplificateur,YES
,bn:00007106n,,"audio_cd, audio_compact_disc, CD, Compact_Disc",Compact discs used to reproduce sound (voice and music),CD,YES
,bn:00007109n,,audiocassette,A cassette for audiotape,cassette,YES
,bn:00007109n,,audiocassette,A cassette for audiotape,minicassette,YES
,bn:00007109n,,audiocassette,A cassette for audiotape,musicassette,YES
,bn:00007109n,,audiocassette,A cassette for audiotape,K7,YES
,bn:00007120n,,"hearing, auditory_perception, auditory_sense, sense_of_hearing, audition, auditory_modality, human_hearing,  auditive_perception, hear, hearing_protection, art_of_listening, aural, audioception, ear_protection_device, ear_protective_devices, ear_protective_device, underwater_hearing",The ability to hear; the auditory faculty,ouïe,YES
,bn:00007120n,,"hearing, auditory_perception, auditory_sense, sense_of_hearing, audition, auditory_modality, human_hearing,  auditive_perception, hear, hearing_protection, art_of_listening, aural, audioception, ear_protection_device, ear_protective_devices, ear_protective_device, underwater_hearing",The ability to hear; the auditory faculty,audition,YES
,bn:00007120n,,"hearing, auditory_perception, auditory_sense, sense_of_hearing, audition, auditory_modality, human_hearing,  auditive_perception, hear, hearing_protection, art_of_listening, aural, audioception, ear_protection_device, ear_protective_devices, ear_protective_device, underwater_hearing",The ability to hear; the auditory faculty,ouie,YES
,bn:00007124n,,"auditorium, auditorium_site, auditorium_seating, amphitheater, arena, garden, hall, theater, theatre, auditoriums, auditoria, screens, continental_seating, imperial_box",The area of a theater or concert hall where the audience sits,auditorium,YES
,bn:00007124n,,"auditorium, auditorium_site, auditorium_seating, amphitheater, arena, garden, hall, theater, theatre, auditoriums, auditoria, screens, continental_seating, imperial_box",The area of a theater or concert hall where the audience sits,salle,YES
,bn:00007124n,,"auditorium, auditorium_site, auditorium_seating, amphitheater, arena, garden, hall, theater, theatre, auditoriums, auditoria, screens, continental_seating, imperial_box",The area of a theater or concert hall where the audience sits,amphi,YES
,bn:00007126n,,"auditory_apparatus, auditory_system",All of the components of the organ of hearing including the outer and middle and inner ears,système_auditif,YES
,bn:00007127n,,"primary_auditory_cortex, A1, auditory_cortex, auditory_area, secondary_auditory_cortex, posterior_transverse_temporal_area_42, anterior_transverse_temporal_area_41, auditory_processing",The cortical area that receives auditory information from the medial geniculate body,cortex_auditif_primaire,YES
,bn:00007128n,,"superior_temporal_gyrus, auditory_center",The part of the brain (in a fold of the cerebral cortex of the temporal lobe on both sides of the brain) that receives impulses from the ear by way of the auditory nerve,gyrus_temporal_supérieur,YES
,bn:00007130n,,"hyperacusis, hyperacusia, auditory_hyperesthesia, hyperacousis, hypercaousia",Abnormal acuteness of hearing due to increased irritability of the sensory neural mechanism; characterized by intolerance for ordinary sound levels,hyperacousie,YES
,bn:00007130n,,"hyperacusis, hyperacusia, auditory_hyperesthesia, hyperacousis, hypercaousia",Abnormal acuteness of hearing due to increased irritability of the sensory neural mechanism; characterized by intolerance for ordinary sound levels,odynacousie,YES
,bn:00007130n,,"hyperacusis, hyperacusia, auditory_hyperesthesia, hyperacousis, hypercaousia",Abnormal acuteness of hearing due to increased irritability of the sensory neural mechanism; characterized by intolerance for ordinary sound levels,dysacousie,YES
,bn:00007130n,,"hyperacusis, hyperacusia, auditory_hyperesthesia, hyperacousis, hypercaousia",Abnormal acuteness of hearing due to increased irritability of the sensory neural mechanism; characterized by intolerance for ordinary sound levels,hyperesthésie_auditive,YES
,bn:00007130n,,"hyperacusis, hyperacusia, auditory_hyperesthesia, hyperacousis, hypercaousia",Abnormal acuteness of hearing due to increased irritability of the sensory neural mechanism; characterized by intolerance for ordinary sound levels,dysesthésie_auditif,YES
,bn:00007130n,,"hyperacusis, hyperacusia, auditory_hyperesthesia, hyperacousis, hypercaousia",Abnormal acuteness of hearing due to increased irritability of the sensory neural mechanism; characterized by intolerance for ordinary sound levels,allodynie_auditive,YES
,bn:00007377n,,"hooter, automobile_horn, horn, car_horn, motor_horn, klaxon",A device on an automobile for making a warning noise,klaxon,YES
,bn:00007377n,,"hooter, automobile_horn, horn, car_horn, motor_horn, klaxon",A device on an automobile for making a warning noise,avertisseur,YES
,bn:00007377n,,"hooter, automobile_horn, horn, car_horn, motor_horn, klaxon",A device on an automobile for making a warning noise,corne,YES
,bn:00007596n,,"bel, b",A logarithmic unit of sound intensity equal to 10 decibels,bel,YES
,bn:00007601n,,"licorice_stick, b-flat_clarinet",The ordinary clarinet with a middle range,bâton_de_réglisse,YES
,bn:00007601n,,"licorice_stick, b-flat_clarinet",The ordinary clarinet with a middle range,clarinette_si_bémol,YES
,bn:00007601n,,"licorice_stick, b-flat_clarinet",The ordinary clarinet with a middle range,clarinette_en_si_bémol,YES
,bn:00007613n,,"baa, bleating, baaing",The cry made by sheep,bêlement,YES
,bn:00007613n,,"baa, bleating, baaing",The cry made by sheep,bêler,YES
,bn:00007635n,,babel,A confusion of voices and other sounds,brouhaha,YES
,bn:00007635n,,babel,A confusion of voices and other sounds,vacarme,YES
,bn:00007665n,,"parlor_grand_piano, parlor_grand, baby_grand_piano, parlour_grand, parlour_grand_piano, baby_grand",A small grand piano,piano_demi-queue,YES
,bn:00007665n,,"parlor_grand_piano, parlor_grand, baby_grand_piano, parlour_grand, parlour_grand_piano, baby_grand",A small grand piano,piano_à_queue,YES
,bn:00007665n,,"parlor_grand_piano, parlor_grand, baby_grand_piano, parlour_grand, parlour_grand_piano, baby_grand",A small grand piano,crapaud,YES
,bn:00007665n,,"parlor_grand_piano, parlor_grand, baby_grand_piano, parlour_grand, parlour_grand_piano, baby_grand",A small grand piano,quart_de_queue,YES
,bn:00007665n,,"parlor_grand_piano, parlor_grand, baby_grand_piano, parlour_grand, parlour_grand_piano, baby_grand",A small grand piano,demi-queue,YES
,bn:00007665n,,"parlor_grand_piano, parlor_grand, baby_grand_piano, parlour_grand, parlour_grand_piano, baby_grand",A small grand piano,petit_quart_de_queue,YES
,bn:00007665n,,"parlor_grand_piano, parlor_grand, baby_grand_piano, parlour_grand, parlour_grand_piano, baby_grand",A small grand piano,grand_quart_de_queue,YES
,bn:00007775n,,backfire,A loud noise made by the explosion of fuel in the manifold or exhaust of an internal combustion engine,pétarade,YES
,bn:00007788n,,"background_level, noise_level, ambient_noise",The amplitude level of the undesired background noise,niveau_de_bruit,YES
,bn:00007788n,,"background_level, noise_level, ambient_noise",The amplitude level of the undesired background noise,niveau_du_bruit_de_fond,YES
,bn:00007789n,,"background_noise, ground_noise, ambient_noise",Extraneous noise contaminating sound measurements that cannot be separated from the desired signal,bruit_de_fond,YES
,bn:00007789n,,"background_noise, ground_noise, ambient_noise",Extraneous noise contaminating sound measurements that cannot be separated from the desired signal,bruit,YES
,bn:00007789n,,"background_noise, ground_noise, ambient_noise",Extraneous noise contaminating sound measurements that cannot be separated from the desired signal,bruit_électronique,YES
,bn:00007789n,,"background_noise, ground_noise, ambient_noise",Extraneous noise contaminating sound measurements that cannot be separated from the desired signal,bruit_ambiant,YES
,bn:00007789n,,"background_noise, ground_noise, ambient_noise",Extraneous noise contaminating sound measurements that cannot be separated from the desired signal,niveau_de_bruit,YES
,bn:00008123n,,ball,The people assembled at a lavish formal dance,bal,YES
,bn:00008123n,,ball,The people assembled at a lavish formal dance,boule,YES
,bn:00008128n,,"ball, formal, ball_dance, balls, charity_ball, society_ball",A lavish dance requiring formal attire,bal,YES
,bn:00008128n,,"ball, formal, ball_dance, balls, charity_ball, society_ball",A lavish dance requiring formal attire,boule,YES
,bn:00008164n,,"ballerina, danseuse, ballet dancer",A female ballet dancer,ballerine,YES
,bn:00008164n,,"ballerina, danseuse, ballet dancer",A female ballet dancer,danseuse,YES
,bn:00008165n,,"ballet, 1939_ballet_premieres, 20th_century_concert_dance, ballett, performance_dances,  2011_ballet_premieres, 1914_ballet_premieres, 1940_ballet_premieres, un/locode:inblt, ballet_schools, ballet_characters, balletomanes, 1915_ballet_premieres, ballet_teachers, concert_dancer, balet, 1916_ballet_premieres, 1938_ballet_premieres, balletti,  ballets, ballet_competitions, concert_dance, theatre_dance, performance_dance, dance_theatre, dance_theater, scenic_dance, show_dance, stage_dance, ballet_dance, showdance,  classical_dance, ballet_dancing, dance_performance, balletto",A theatrical representation of a story that is performed to music by trained dancers,ballet,YES
,bn:00008165n,,"ballet, 1939_ballet_premieres, 20th_century_concert_dance, ballett, performance_dances,  2011_ballet_premieres, 1914_ballet_premieres, 1940_ballet_premieres, un/locode:inblt, ballet_schools, ballet_characters, balletomanes, 1915_ballet_premieres, ballet_teachers, concert_dancer, balet, 1916_ballet_premieres, 1938_ballet_premieres, balletti,  ballets, ballet_competitions, concert_dance, theatre_dance, performance_dance, dance_theatre, dance_theater, scenic_dance, show_dance, stage_dance, ballet_dance, showdance,  classical_dance, ballet_dancing, dance_performance, balletto",A theatrical representation of a story that is performed to music by trained dancers,danse_classique,YES
,bn:00008167n,,"ballet_company, ballet_companies_in_france, ballet_companies_in_canada, ballet_companies_in_denmark, ballet_companies_in_korea, ballet_companies_in_sweden, ballet_companies_in_china, ballet_companies_in_italy, ballet_companies_in_switzerland, ballet_companies_in_the_philippines, ballet_companies_in_australia, ballet_companies_in_the_united_kingdom, ballet_companies",A company that produces ballets,compagnie_de_ballet,YES
,bn:00008167n,,"ballet_company, ballet_companies_in_france, ballet_companies_in_canada, ballet_companies_in_denmark, ballet_companies_in_korea, ballet_companies_in_sweden, ballet_companies_in_china, ballet_companies_in_italy, ballet_companies_in_switzerland, ballet_companies_in_the_philippines, ballet_companies_in_australia, ballet_companies_in_the_united_kingdom, ballet_companies",A company that produces ballets,compagnie_de_danse,YES
,bn:00008168n,,"ballet_dancer, ballet_dancers, prima_ballerinas, premier_sujet, primae_ballerinae, ballarina_dancer, coryphee, ballerinos, coryphée, ballerino, primera_bailarina, premiere_danseuse, absoluta, premier_danseur_noble, danseurs, assolutas, ballarina_dancers, sujet, ballerinas, ballerina",A trained dancer who is a member of a ballet company,danseur_de_ballet,YES
,bn:00008168n,,"ballet_dancer, ballet_dancers, prima_ballerinas, premier_sujet, primae_ballerinae, ballarina_dancer, coryphee, ballerinos, coryphée, ballerino, primera_bailarina, premiere_danseuse, absoluta, premier_danseur_noble, danseurs, assolutas, ballarina_dancers, sujet, ballerinas, ballerina",A trained dancer who is a member of a ballet company,ballerine,YES
,bn:00008169n,,"ballet_master, balletmaster, premier_maître_de_ballet, premier_maître_de_ballet_en_chef, ballet_mistresses, paul_talgioni, maría_de_ávila, ballet_masters, paul_taglioni, maria_de_avila, premier_maitre_de_ballet, maitre_de_ballet, maître_de_ballet, premier_maitre_de_ballet_en_chef, maître_de_ballet_en_chef, maitre_de_ballet_en_chef, balletmasters",A man who directs and teaches and rehearses dancers for a ballet company,maître_de_ballet,YES
,bn:00008170n,,"ballet_mistress, ballet_master",A woman who directs and teaches and rehearses dancers for a ballet company,maîtresse_de_ballet,YES
,bn:00008170n,,"ballet_mistress, ballet_master",A woman who directs and teaches and rehearses dancers for a ballet company,maître_de_ballet,YES
,bn:00008171n,,"ballet_position, basic_position_in_ballet, positions_of_the_feet_in_ballet",Classical position of the body and especially the feet in ballet,position_de_ballet,YES
,bn:00008171n,,"ballet_position, basic_position_in_ballet, positions_of_the_feet_in_ballet",Classical position of the body and especially the feet in ballet,position_classique,YES
,bn:00008172n,,"tutu, ballet_tutu, ballerina_tootoo, ballet_skirt, ballet_dress",Very short skirt worn by ballerinas,tutu,YES
,bn:00008172n,,"tutu, ballet_tutu, ballerina_tootoo, ballet_skirt, ballet_dress",Very short skirt worn by ballerinas,tutu_de_ballet,YES
,bn:00008173n,,balletomane,A ballet enthusiast,balletomane,YES
,bn:00008321n,,"bandstand, outdoor_stage, band_stand, bandshell, music_kiosk, stand, , bandstands, band_rotunda",A platform where a (brass) band can play in the open air,kiosque_à_musique,YES
,bn:00008321n,,"bandstand, outdoor_stage, band_stand, bandshell, music_kiosk, stand, , bandstands, band_rotunda",A platform where a (brass) band can play in the open air,kiosque,YES
,bn:00008324n,,bandwagon,A large ornate wagon for carrying a musical band,char_de_parade,YES
,bn:00008324n,,bandwagon,A large ornate wagon for carrying a musical band,char_musical,YES
,bn:00008324n,,bandwagon,A large ornate wagon for carrying a musical band,char,YES
,bn:00008361n,,"banjo, tenor_banjo, 4-string_banjo, benjo, 5-string_banjo, open_back_banjo, banjo_string, four-string_banjo, banjer, electric_banjo, classic_banjo, five-string_banjo, banjos, fingerpicking_banjo, stealth_banjo",A stringed instrument of the guitar family that has long neck and circular body,banjo,YES
,bn:00008597n,,"bark, dog_barking, woof, woofing, yelp, wuff, dog_bark",The sound made by a dog,aboiement,YES
,bn:00008597n,,"bark, dog_barking, woof, woofing, yelp, wuff, dog_bark",The sound made by a dog,ouaf_ouaf,YES
,bn:00008597n,,"bark, dog_barking, woof, woofing, yelp, wuff, dog_bark",The sound made by a dog,ouaf,YES
,bn:00008597n,,"bark, dog_barking, woof, woofing, yelp, wuff, dog_bark",The sound made by a dog,aboi,YES
,bn:00008615n,,"barn_dance, barndance",A dance party featuring country dancing,barn_dance,YES
,bn:00008615n,,"barn_dance, barndance",A dance party featuring country dancing,danse_des_granges,YES
,bn:00008615n,,"barn_dance, barndance",A dance party featuring country dancing,danse_de_grange,YES
,bn:00008615n,,"barn_dance, barndance",A dance party featuring country dancing,danse_de_la_grange,YES
,bn:00008917n,,"bass, bass_instrument",The member with the lowest range of a family of musical instruments,basse,YES
,bn:00008924n,,"tuba, bombardon, sousaphone, bass_horn, bass_tuba, serpent, bombardone, contrabass_tuba, sousaphonist, brass_bass, jazz_tuba, susaphone, sousaphon",The lowest brass wind instrument,tuba,YES
,bn:00008924n,,"tuba, bombardon, sousaphone, bass_horn, bass_tuba, serpent, bombardone, contrabass_tuba, sousaphonist, brass_bass, jazz_tuba, susaphone, sousaphon",The lowest brass wind instrument,serpent,YES
,bn:00008941n,,"basso_profundo, deep_bass, basso_profondo, octavist, oktavist, low_bass, russian_bass",A very deep bass voice,basse_profonde,YES
,bn:00008941n,,"basso_profundo, deep_bass, basso_profondo, octavist, oktavist, low_bass, russian_bass",A very deep bass voice,basse_noble,YES
,bn:00008941n,,"basso_profundo, deep_bass, basso_profondo, octavist, oktavist, low_bass, russian_bass",A very deep bass voice,basse_nivette,YES
,bn:00008942n,,"bassoon, buffet_system, fagotte, french_bassoon, fagotti, fagotto, bassoons, baßoon, fagott, pancake_key, fagot, basoonist, basoon, heckel_system",A double-reed instrument; the tenor of the oboe family,basson,YES
,bn:00008942n,,"bassoon, buffet_system, fagotte, french_bassoon, fagotti, fagotto, bassoons, baßoon, fagott, pancake_key, fagot, basoonist, basoon, heckel_system",A double-reed instrument; the tenor of the oboe family,bassoniste,YES
,bn:00009208n,,"shouter, yeller, bawler, roarer, screamer, screecher, squawker, bellower",Someone who communicates vocally in a very loud voice,crieur,YES
,bn:00009208n,,"shouter, yeller, bawler, roarer, screamer, screecher, squawker, bellower",Someone who communicates vocally in a very loud voice,crieuse,YES
,bn:00009208n,,"shouter, yeller, bawler, roarer, screamer, screecher, squawker, bellower",Someone who communicates vocally in a very loud voice,hurleur,YES
,bn:00009208n,,"shouter, yeller, bawler, roarer, screamer, screecher, squawker, bellower",Someone who communicates vocally in a very loud voice,hurleuse,YES
,bn:00009208n,,"shouter, yeller, bawler, roarer, screamer, screecher, squawker, bellower",Someone who communicates vocally in a very loud voice,aboyeur,YES
,bn:00009208n,,"shouter, yeller, bawler, roarer, screamer, screecher, squawker, bellower",Someone who communicates vocally in a very loud voice,aboyeuse,YES
,bn:00009210n,,"bawling, wailing",Loud cries made while weeping,pleurs,YES
,bn:00009210n,,"bawling, wailing",Loud cries made while weeping,brailler,YES
,bn:00009210n,,"bawling, wailing",Loud cries made while weeping,pleur,YES
,bn:00009210n,,"bawling, wailing",Loud cries made while weeping,larmoiement,YES
,bn:00009210n,,"bawling, wailing",Loud cries made while weeping,larmoiements,YES
,bn:00009213n,,bay,The sound of a hound on the scent,cri,YES
,bn:00009213n,,bay,The sound of a hound on the scent,aboiement,YES
,bn:00009397n,,"beat, battimenti, idosing, batimientos, beat_frequency, interference_beating, acoustical_beat, beating, beating_frequency, beat_wave, binaural_beat, acoustic_beat, interference_beat, binaural_frequency, binaural_tones, binaural_frequencies, beat_note",A single pulsation of an oscillation produced by adding two waves of different frequencies; has a frequency equal to the difference between the two oscillations,battement,YES
,bn:00009399n,,beat,The sound of stroke or blow,temps,YES
,bn:00009412n,,"reed_instrument, reed_aerophone, beating-reed_instrument, reed",A musical instrument that sounds by means of a vibrating reed,instrument_à_anche,YES
,bn:00009412n,,"reed_instrument, reed_aerophone, beating-reed_instrument, reed",A musical instrument that sounds by means of a vibrating reed,anche,YES
,bn:00009418n,,"beats_per_minute, metronome_marking, bpm, m.m.",The pace of music measured by the number of beats occurring in 60 seconds,battements_par_minute,YES
,bn:00009418n,,"beats_per_minute, metronome_marking, bpm, m.m.",The pace of music measured by the number of beats occurring in 60 seconds,bpm,YES
,bn:00009418n,,"beats_per_minute, metronome_marking, bpm, m.m.",The pace of music measured by the number of beats occurring in 60 seconds,m.m.,YES
,bn:00009418n,,"beats_per_minute, metronome_marking, bpm, m.m.",The pace of music measured by the number of beats occurring in 60 seconds,métronome_marquage,YES
,bn:00009587n,,"beep, bleep, bleep_sound, beep_sound, breep, *beep*",A short high tone produced as a signal or warning,bip,YES
,bn:00009650n,,beguine,A ballroom dance that originated in the French West Indies; similar to the rumba,biguine,YES
,bn:00009650n,,beguine,A ballroom dance that originated in the French West Indies; similar to the rumba,béguine,YES
,bn:00009650n,,beguine,A ballroom dance that originated in the French West Indies; similar to the rumba,beguine,YES
,bn:00009727n,,bell,A hollow device made of metal that makes a ringing sound when struck,cloche,YES
,bn:00009727n,,bell,A hollow device made of metal that makes a ringing sound when struck,sonnette,YES
,bn:00009727n,,bell,A hollow device made of metal that makes a ringing sound when struck,clochette,YES
,bn:00009728n,,"doorbell, buzzer, bell, doorbells, intelligent_door_bell, door_chime, door_bell",A push button at an outer door that gives a ringing or buzzing signal when pushed,sonnette,YES
,bn:00009728n,,"doorbell, buzzer, bell, doorbells, intelligent_door_bell, door_chime, door_bell",A push button at an outer door that gives a ringing or buzzing signal when pushed,clochette,YES
,bn:00009728n,,"doorbell, buzzer, bell, doorbells, intelligent_door_bell, door_chime, door_bell",A push button at an outer door that gives a ringing or buzzing signal when pushed,cloche,YES
