wn_synset,bn:id,pos,lemmata EN,definition,lemmata ES,is it related to music?,note
,bn:02474018n,,,الهيب هوب الكوميدي أو راب الكوميديا هو نوع فرعي من موسيقى الهيب هوب يتضمن عادة كلمات ساخرة.,comedy_rap,YES,
,bn:02474018n,,,الهيب هوب الكوميدي أو راب الكوميديا هو نوع فرعي من موسيقى الهيب هوب يتضمن عادة كلمات ساخرة.,hip_hop_comico,YES,
,bn:02474018n,,,الهيب هوب الكوميدي أو راب الكوميديا هو نوع فرعي من موسيقى الهيب هوب يتضمن عادة كلمات ساخرة.,hip_hop_cómico,YES,
,bn:02474018n,,,الهيب هوب الكوميدي أو راب الكوميديا هو نوع فرعي من موسيقى الهيب هوب يتضمن عادة كلمات ساخرة.,rap_cómico,YES,
,bn:03091003n,,punk_house,A punk house is a dwelling occupied by members of the punk subculture.,casa_punk,YES,
,bn:02836857n,,background_singer,Optional.empty,cantante_de_fondo_sin_acreditar,YES,
,bn:02036151n,,,世界盃主題曲是世界盃足球賽的主題曲，下表即羅列歷屆世界盃足球賽主題曲。,cancion_oficial_de_la_copa_mundial_de_la_fifa,YES,
,bn:02036151n,,,世界盃主題曲是世界盃足球賽的主題曲，下表即羅列歷屆世界盃足球賽主題曲。,música_oficial_de_la_copa_mundial_de_fútbol,YES,
,bn:02036151n,,,世界盃主題曲是世界盃足球賽的主題曲，下表即羅列歷屆世界盃足球賽主題曲。,canción_oficial_de_la_copa_mundial_de_la_fifa,YES,
,bn:00009757n,,"bell_ringer, toller, ringer, bell-ringer",A person who rings church bells (as for summoning the congregation),campanero,YES,
,bn:00009757n,,"bell_ringer, toller, ringer, bell-ringer",A person who rings church bells (as for summoning the congregation),campanera,YES,
,bn:00403381n,,juke_joint_blues,Optional.empty,blues_juke_conjunta,YES,
,bn:00690142n,,"progressive_bluegrass, newgrass","Il progressive bluegrass è uno dei sottogeneri più importanti del bluegrass, sviluppatosi negli Stati Uniti a cavallo fra gli anni sessanta e settanta del XX secolo.",bluegrass_progresivo,YES,
,bn:00690142n,,"progressive_bluegrass, newgrass","Il progressive bluegrass è uno dei sottogeneri più importanti del bluegrass, sviluppatosi negli Stati Uniti a cavallo fra gli anni sessanta e settanta del XX secolo.",newgrass,YES,
,bn:02261304n,,,Optional.empty,audiation,YES,
,bn:03568243n,,,Optional.empty,apuntador,YES,
,bn:01643007n,,ancient_celtic_music,"Deductions about the music of the ancient Celts of the La Tène period rely primarily on Greek and Roman sources, as well as on archaeological finds and interpretations including the reconstruction of the Celts' ancient instruments.",antigua_música_celta,YES,
,bn:01643007n,,ancient_celtic_music,"Deductions about the music of the ancient Celts of the La Tène period rely primarily on Greek and Roman sources, as well as on archaeological finds and interpretations including the reconstruction of the Celts' ancient instruments.",antigua_musica_celta,YES,
,bn:00012904n,,"break, voice_crack",An abrupt change in the tone or register of the voice (as at puberty or due to emotion),quebrarse,YES,
,bn:00170437n,,,Чотириструнне банджо ,,YES,
,bn:03575662n,,,A Queen együttes fennállásának 20 éve alatt több mint 700 koncertet adott a világ minden táján.,,YES,
,bn:04803005n,,,La nira est un instrument de musique à vent à six ou huit trous utilisé au Maroc.,,YES,
,bn:04806523n,,,Les bunde ou « tambours luo » est un instrument de musique traditionnel originaire du Kenya.,,YES,
,bn:04822350n,,,La charge est un instrument de musique médiéval.,,YES,
,bn:04856495n,,,L’asson ou açon est un instrument de musique d'Haïti.,,YES,
,bn:08547114n,,,"El xerrac és un instrument de percussió tradicional de Mallorca, realitzat amb un bocí de canya en la qual es fan una sèrie de mòsses.",,YES,
,bn:10511077n,,,De kalenga of kalengo is een Nigeriaanse heuptrommel.,,YES,
,bn:11590510n,,,Lira är ett namn på olika stråkinstrument med ursprung i lyran.,,YES,
,bn:13942760n,,,"Les chansons traditionnelles en occitan sont surtout chantées dans les régions où est parlé l'occitan, principalement le sud de la France.",,YES,
,bn:15673314n,,,Maryna – polski instrument ludowy z grupy chordofonów.,,YES,
,bn:16619999n,,,"Jednobitová hudba je hudba, která je tvořena pouze sekvencí logických nul a logických jedniček.",,YES,
,bn:00448640n,,"vọng_cổ, vong_co, vong_cổ",Vọng cổ is a Vietnamese song and musical structure used primarily in the cải lương theater music and nhạc tài tử chamber music of southern Vietnam.,vọng_cổ,YES,
,bn:00448640n,,"vọng_cổ, vong_co, vong_cổ",Vọng cổ is a Vietnamese song and musical structure used primarily in the cải lương theater music and nhạc tài tử chamber music of southern Vietnam.,vong_co,YES,
,bn:01325854n,,"punk_blues, punk-blues, blues_punk, bluescore",Punk blues is a rock music genre that mixes elements of punk rock and blues.,punk_blues,YES,
,bn:01325854n,,"punk_blues, punk-blues, blues_punk, bluescore",Punk blues is a rock music genre that mixes elements of punk rock and blues.,blues_punk,YES,
,bn:03476569n,,"zurna, zurla, zurnā, surnai, surnay, surnāy, zourna","The zurna is a wind instrument played in central Eurasia, Western Asia and parts of North Africa.",zurna,YES,
,bn:03476569n,,"zurna, zurla, zurnā, surnai, surnay, surnāy, zourna","The zurna is a wind instrument played in central Eurasia, Western Asia and parts of North Africa.",algaita,YES,
,bn:03476569n,,"zurna, zurla, zurnā, surnai, surnay, surnāy, zourna","The zurna is a wind instrument played in central Eurasia, Western Asia and parts of North Africa.",al-ghaita,YES,
,bn:03476569n,,"zurna, zurla, zurnā, surnai, surnay, surnāy, zourna","The zurna is a wind instrument played in central Eurasia, Western Asia and parts of North Africa.",zourna,YES,
,bn:03476569n,,"zurna, zurla, zurnā, surnai, surnay, surnāy, zourna","The zurna is a wind instrument played in central Eurasia, Western Asia and parts of North Africa.",ghaita,YES,
,bn:00010662n,,"whirr, whirring, birr, whir",Sound of something in rapid motion,zumbido,YES,
,bn:00010662n,,"whirr, whirring, birr, whir",Sound of something in rapid motion,rechino,YES,
,bn:00010662n,,"whirr, whirring, birr, whir",Sound of something in rapid motion,runrún,YES,
,bn:00010662n,,"whirr, whirring, birr, whir",Sound of something in rapid motion,rechinamiento,YES,
,bn:00014342n,,"buzzer, buzzers",A signaling device that makes a buzzing sound,zumbador,YES,
,bn:00014342n,,"buzzer, buzzers",A signaling device that makes a buzzing sound,bocina,YES,
,bn:00014342n,,"buzzer, buzzers",A signaling device that makes a buzzing sound,deli,YES,
,bn:03520511n,,"guitar_synthesizer, midi_guitar, guitar_synth, synth_guitar, digital_guitar, guitar_synthesiser, ztar, bass_guitar_synth, guitar_synthesizers, synthesizer_guitar, guitar/synth, guitar/synthesizer",A guitar synthesizer is any one of a number of musical instrument systems that allow a guitarist to access synthesizer capabilities.,ztar,YES,
,bn:03520511n,,"guitar_synthesizer, midi_guitar, guitar_synth, synth_guitar, digital_guitar, guitar_synthesiser, ztar, bass_guitar_synth, guitar_synthesizers, synthesizer_guitar, guitar/synth, guitar/synthesizer",A guitar synthesizer is any one of a number of musical instrument systems that allow a guitarist to access synthesizer capabilities.,guitarra__sintetizador,YES,
,bn:03520511n,,"guitar_synthesizer, midi_guitar, guitar_synth, synth_guitar, digital_guitar, guitar_synthesiser, ztar, bass_guitar_synth, guitar_synthesizers, synthesizer_guitar, guitar/synth, guitar/synthesizer",A guitar synthesizer is any one of a number of musical instrument systems that allow a guitarist to access synthesizer capabilities.,sintetizador_de_guitarra,YES,
,bn:03224022n,,"zouk, zouk_love, zouk-love, caribbean_zouk, zouk_beton, zouklove","Zouk is, a musical movement pioneered and popularized by the French Antillean band Kassav' in the early 1980s.",zouk,YES,
,bn:00776406n,,zouglou,Zouglou is a dance oriented style of music originated from Côte d'Ivoire during the mid-1990s.,zouglou,YES,
,bn:01132858n,,"zortziko, zortzico, zorzico",The zortziko is a dance rhythm that originates in the Basque Country.,zorcico,YES,
,bn:01132858n,,"zortziko, zortzico, zorzico",The zortziko is a dance rhythm that originates in the Basque Country.,zortziko,YES,
,bn:00162359n,,"zoomusicology, music_in_animals, zoomusicologists, insect_music, zoomusicologist, zoomusicological, animal_music","Zoomusicology is a field of musicology and zoology or more specifically, zoosemiotics.",zoomusicología,YES,
,bn:00162359n,,"zoomusicology, music_in_animals, zoomusicologists, insect_music, zoomusicologist, zoomusicological, animal_music","Zoomusicology is a field of musicology and zoology or more specifically, zoosemiotics.",zoomusicologia,YES,
,bn:00162359n,,"zoomusicology, music_in_animals, zoomusicologists, insect_music, zoomusicologist, zoomusicological, animal_music","Zoomusicology is a field of musicology and zoology or more specifically, zoosemiotics.",zoomusicology,YES,
,bn:03435353n,,Zeuhl,Zeuhl ,zeuhl,YES,
,bn:02806456n,,"zarzuela, zarzuella, la_zarzuela, zarzuelas, zarzuela_musical_theatre","Zarzuela is a Spanish lyric-dramatic genre that alternates between spoken and sung scenes, the latter incorporating operatic and popular songs, as well as dance.",zarzuela,YES,
,bn:02806456n,,"zarzuela, zarzuella, la_zarzuela, zarzuelas, zarzuela_musical_theatre","Zarzuela is a Spanish lyric-dramatic genre that alternates between spoken and sung scenes, the latter incorporating operatic and popular songs, as well as dance.",zarzuelas,YES,
,bn:02806456n,,"zarzuela, zarzuella, la_zarzuela, zarzuelas, zarzuela_musical_theatre","Zarzuela is a Spanish lyric-dramatic genre that alternates between spoken and sung scenes, the latter incorporating operatic and popular songs, as well as dance.",zarzuelero,YES,
,bn:02806456n,,"zarzuela, zarzuella, la_zarzuela, zarzuelas, zarzuela_musical_theatre","Zarzuela is a Spanish lyric-dramatic genre that alternates between spoken and sung scenes, the latter incorporating operatic and popular songs, as well as dance.",zarzuela_grande,YES,
,bn:02806456n,,"zarzuela, zarzuella, la_zarzuela, zarzuelas, zarzuela_musical_theatre","Zarzuela is a Spanish lyric-dramatic genre that alternates between spoken and sung scenes, the latter incorporating operatic and popular songs, as well as dance.",género_grande,YES,
,bn:02806456n,,"zarzuela, zarzuella, la_zarzuela, zarzuelas, zarzuela_musical_theatre","Zarzuela is a Spanish lyric-dramatic genre that alternates between spoken and sung scenes, the latter incorporating operatic and popular songs, as well as dance.",zarzuelista,YES,
,bn:03441007n,,"sarabande, sarabandes, zarabanda",The sarabande is a dance in triple metre.,zarabanda,YES,
,bn:03441007n,,"sarabande, sarabandes, zarabanda",The sarabande is a dance in triple metre.,sarabande,YES,
,bn:03441007n,,"sarabande, sarabandes, zarabanda",The sarabande is a dance in triple metre.,sarabanda,YES,
,bn:03441007n,,"sarabande, sarabandes, zarabanda",The sarabande is a dance in triple metre.,zarabandista,YES,
,bn:03441007n,,"sarabande, sarabandes, zarabanda",The sarabande is a dance in triple metre.,zarabando,YES,
,bn:00069245n,,"saraband, sarabande",A stately court dance of the 17th and 18th centuries; in slow time,zarabanda,YES,
,bn:15251543n,,zapateado,"The zapateado is a group of dance styles of Mexico, characterized by a lively rhythm punctuated by the striking of the dancer's shoes, akin to tap dance.",zapateado,YES,
,bn:03077620n,,zampogna,"Zampogna is a generic term for a number of Italian double chantered pipes that can be found as far north as the southern part of the Marche, throughout areas in Abruzzo, Latium, Molise, Basilicata, Campania, Calabria, and Sicily.",zampoña,YES,
,bn:00685053n,,zabumba,A zabumba is a type of bass drum used in Brazilian music.,zabumba,YES,
,bn:02038670n,,yo-pop,"Yo-pop is a style of Nigerian popular music, popularized in the 1980s by Segun Adewale.",yo-pop,YES,
,bn:02038670n,,yo-pop,"Yo-pop is a style of Nigerian popular music, popularized in the 1980s by Segun Adewale.",yo_pop,YES,
,bn:03180173n,,"joik, yoik, yoiker, joiking, jojk, luohti, jojkare, yoiking",A joik or yoik is a traditional form of song in Sámi music performed by the Sámi people of Sapmi in Northern Europe.,yoik,YES,
,bn:03180173n,,"joik, yoik, yoiker, joiking, jojk, luohti, jojkare, yoiking",A joik or yoik is a traditional form of song in Sámi music performed by the Sámi people of Sapmi in Northern Europe.,joik,YES,
,bn:00081893n,,"yelp, yelping, yelp,_inc., yip, yelp_incorporated, yelp_inc., yelp!, yelp_inc, yelp.com, yelp_review",A sharp high-pitched cry (especially by a dog),yip,YES,
,bn:00081893n,,"yelp, yelping, yelp,_inc., yip, yelp_incorporated, yelp_inc., yelp!, yelp_inc, yelp.com, yelp_review",A sharp high-pitched cry (especially by a dog),gañido,YES,
,bn:00081893n,,"yelp, yelping, yelp,_inc., yip, yelp_incorporated, yelp_inc., yelp!, yelp_inc, yelp.com, yelp_review",A sharp high-pitched cry (especially by a dog),quejido,YES,
,bn:00081893n,,"yelp, yelping, yelp,_inc., yip, yelp_incorporated, yelp_inc., yelp!, yelp_inc, yelp.com, yelp_review",A sharp high-pitched cry (especially by a dog),trino,YES,
,bn:00081893n,,"yelp, yelping, yelp,_inc., yip, yelp_incorporated, yelp_inc., yelp!, yelp_inc, yelp.com, yelp_review",A sharp high-pitched cry (especially by a dog),aullido,YES,
,bn:00081893n,,"yelp, yelping, yelp,_inc., yip, yelp_incorporated, yelp_inc., yelp!, yelp_inc, yelp.com, yelp_review",A sharp high-pitched cry (especially by a dog),yelp,YES,
,bn:00081893n,,"yelp, yelping, yelp,_inc., yip, yelp_incorporated, yelp_inc., yelp!, yelp_inc, yelp.com, yelp_review",A sharp high-pitched cry (especially by a dog),aullando,YES,
,bn:01090327n,,"ye-ye, yé-yé, iê-iê-iê, yeye, yeye_music, ye-yé, ye_ye, yéyé, yé_yé",Yé-yé was a style of pop music that emerged from Southern Europe in the early 1960s.,yé-yé,YES,
,bn:01090327n,,"ye-ye, yé-yé, iê-iê-iê, yeye, yeye_music, ye-yé, ye_ye, yéyé, yé_yé",Yé-yé was a style of pop music that emerged from Southern Europe in the early 1960s.,yeye,YES,
,bn:01090327n,,"ye-ye, yé-yé, iê-iê-iê, yeye, yeye_music, ye-yé, ye_ye, yéyé, yé_yé",Yé-yé was a style of pop music that emerged from Southern Europe in the early 1960s.,ye-yé,YES,
,bn:01090327n,,"ye-ye, yé-yé, iê-iê-iê, yeye, yeye_music, ye-yé, ye_ye, yéyé, yé_yé",Yé-yé was a style of pop music that emerged from Southern Europe in the early 1960s.,ye_ye,YES,
,bn:01090327n,,"ye-ye, yé-yé, iê-iê-iê, yeye, yeye_music, ye-yé, ye_ye, yéyé, yé_yé",Yé-yé was a style of pop music that emerged from Southern Europe in the early 1960s.,yé_yé,YES,
,bn:01090327n,,"ye-ye, yé-yé, iê-iê-iê, yeye, yeye_music, ye-yé, ye_ye, yéyé, yé_yé",Yé-yé was a style of pop music that emerged from Southern Europe in the early 1960s.,ye-ye,YES,
,bn:01090327n,,"ye-ye, yé-yé, iê-iê-iê, yeye, yeye_music, ye-yé, ye_ye, yéyé, yé_yé",Yé-yé was a style of pop music that emerged from Southern Europe in the early 1960s.,ye_yé,YES,
,bn:01090327n,,"ye-ye, yé-yé, iê-iê-iê, yeye, yeye_music, ye-yé, ye_ye, yéyé, yé_yé",Yé-yé was a style of pop music that emerged from Southern Europe in the early 1960s.,iê-iê-iê,YES,
,bn:01090327n,,"ye-ye, yé-yé, iê-iê-iê, yeye, yeye_music, ye-yé, ye_ye, yéyé, yé_yé",Yé-yé was a style of pop music that emerged from Southern Europe in the early 1960s.,chico_ye_yé,YES,
,bn:01090327n,,"ye-ye, yé-yé, iê-iê-iê, yeye, yeye_music, ye-yé, ye_ye, yéyé, yé_yé",Yé-yé was a style of pop music that emerged from Southern Europe in the early 1960s.,chico_yé_yé,YES,
,bn:01090327n,,"ye-ye, yé-yé, iê-iê-iê, yeye, yeye_music, ye-yé, ye_ye, yéyé, yé_yé",Yé-yé was a style of pop music that emerged from Southern Europe in the early 1960s.,chico_ye_ye,YES,
,bn:01090327n,,"ye-ye, yé-yé, iê-iê-iê, yeye, yeye_music, ye-yé, ye_ye, yéyé, yé_yé",Yé-yé was a style of pop music that emerged from Southern Europe in the early 1960s.,chico_ye-ye,YES,
,bn:01090327n,,"ye-ye, yé-yé, iê-iê-iê, yeye, yeye_music, ye-yé, ye_ye, yéyé, yé_yé",Yé-yé was a style of pop music that emerged from Southern Europe in the early 1960s.,chico_yé-yé,YES,
,bn:01090327n,,"ye-ye, yé-yé, iê-iê-iê, yeye, yeye_music, ye-yé, ye_ye, yéyé, yé_yé",Yé-yé was a style of pop music that emerged from Southern Europe in the early 1960s.,chico_ye-yé,YES,
,bn:02850246n,,"yayue, chinese_court_music, ya-yüeh, ya_yue",Yayue was originally a form of classical music and dance performed at the royal court and temples in ancient China.,yayue,YES,
,bn:03602542n,,"yangqin, yang_ch'in, yang_qin, yangqing, 扬琴, yang-chin, yangchen, 揚琴, chinese_dulcimer, yang_quin, electric_yangqin, yang-ch'in","The trapezoidal yangqin is a Chinese hammered dulcimer, likely derived from the Iranian santur or the European dulcimer.",yangqin,YES,
,bn:00895123n,,"xylorimba, marimba-xylophone, xylo-marimba",The xylorimba is a pitched percussion instrument corresponding to a xylophone with an extended range.,xylorimba,YES,
,bn:01347747n,,xun,"The xun is a globular, vessel flute from China.",xun,YES,
,bn:02249473n,,"xote, xotis, xótis",Xote is a Brazilian music genre and dance with a binary or quaternary rhythm.,xote,YES,
,bn:01942151n,,xenochrony,"Xenochrony is a studio-based musical technique developed at an unknown date, but possibly as early as the early 1960s, by Frank Zappa, who used it on several albums.",xenochrony,YES,
,bn:03670353n,,"bowed_clavier, geigenwerk, bogenklavier, klawiolin","The bowed clavier is a keyboard instrument strung with gut strings, the tone of which is produced by a steadily revolving, well rosined cylinder powered by a foot pedal, a mechanism similar to that found in the hurdy-gurdy.",xaenorfica,YES,
,bn:03670353n,,"bowed_clavier, geigenwerk, bogenklavier, klawiolin","The bowed clavier is a keyboard instrument strung with gut strings, the tone of which is produced by a steadily revolving, well rosined cylinder powered by a foot pedal, a mechanism similar to that found in the hurdy-gurdy.",bowed_clavier,YES,
