wn_synset,bn:id,pos,lemmata EN,definition,lemmata FR,is it related to music?
,bn:00004827n,,"apache_dance, apache, la_danse_apache, apache_turn, tough_dance, bowery_waltz",A violent fast dance in French vaudeville (an apache is a member of the French underworld),chaloupée,YES
,bn:00004828n,,"apache_devil_dance, apache_diable_danse",A ritual dance of the Apache,apache_devil_dance,YES
,bn:00005052n,,"whip, slapstick, applauder, clapper",Someone who applauds,"fouet, applauder",YES
,bn:00005256n,,"arabesque, arabesque_penché, arabesque_penchée",Position in which the dancer has one leg raised behind and arms outstretched in a conventional pose,arabesque,YES
,bn:00006186n,,artist,A public performer (a dancer or singer),artiste,YES
,bn:00006998n,,"attack, tone-beginning",A decisive manner of beginning a musical tone or phrase,"attaque, ton_début",YES
,bn:00007019n,,"listener, good_listener, hearer, auditor, attender",Someone who listens attentively,"auditeur, auditrice, écoutant, écoutante, gestion_des_événements, événement, gestionnaire_d'événements, écouteur, écouteuse",YES
,bn:00007094n,,"audibility, audibleness",Quality or fact or degree of being audible or perceptible by the ear,audibilité,YES
,bn:00007102n,,"audio_frequency, audible_frequency, sound_frequency, AF, A.F., audio, audio_frequencies, af, audio-frequency",An audible acoustic wave frequency,"audiofréquence, A.F., fréquences_audio, partie_son",YES
,bn:00007104n,,audio,The sound elements of television,"son, partie_son",YES
,bn:00007105n,,"audio_amplifier, amplifier",An amplifier that increases the amplitude of reproduced sound,amplificateur,YES
,bn:00007106n,,"audio_cd, audio_compact_disc, CD, Compact_Disc",Compact discs used to reproduce sound (voice and music),"CD, disque_compact_audio",YES
,bn:00007109n,,audiocassette,A cassette for audiotape,"cassette, minicassette, musicassette, K7",YES
,bn:00007120n,,"hearing, auditory_perception, auditory_sense, sense_of_hearing, audition, auditory_modality, human_hearing,  auditive_perception, hear, hearing_protection, art_of_listening, aural, audioception, ear_protection_device, ear_protective_devices, ear_protective_device, underwater_hearing",The ability to hear; the auditory faculty,"ouïe, audition, protection_de_l'ouïe, tradition, protecteur, entendre, écouter, ouie, fonction_auditive, modalité_auditive",YES
,bn:00007124n,,"auditorium, auditorium_site, auditorium_seating, amphitheater, arena, garden, hall, theater, theatre, auditoriums, auditoria, screens, continental_seating, imperial_box",The area of a theater or concert hall where the audience sits,"auditorium, salle, amphi, salles, auditoriums, loge_royale, auditorium_cinéma, auditorium_film",YES
,bn:00007126n,,"auditory_apparatus, auditory_system",All of the components of the organ of hearing including the outer and middle and inner ears,"système_auditif, appareil_auditif",YES
,bn:00007127n,,"primary_auditory_cortex, A1, auditory_cortex, auditory_area, secondary_auditory_cortex, posterior_transverse_temporal_area_42, anterior_transverse_temporal_area_41, auditory_processing",The cortical area that receives auditory information from the medial geniculate body,"cortex_auditif_primaire, cortex_auditif, aire_auditive",YES
,bn:00007128n,,"superior_temporal_gyrus, auditory_center",The part of the brain (in a fold of the cerebral cortex of the temporal lobe on both sides of the brain) that receives impulses from the ear by way of the auditory nerve,"gyrus_temporal_supérieur, auditif_central",YES
,bn:00007130n,,"hyperacusis, hyperacusia, auditory_hyperesthesia, hyperacousis, hypercaousia",Abnormal acuteness of hearing due to increased irritability of the sensory neural mechanism; characterized by intolerance for ordinary sound levels,"hyperacousie, odynacousie, dysacousie, hyperesthésie_auditive, dysesthésie_auditif, allodynie_auditive, hyperacusia",YES
,bn:00007377n,,"hooter, automobile_horn, horn, car_horn, motor_horn, klaxon",A device on an automobile for making a warning noise,"klaxon, avertisseur, corne, klaxon_de_vélo, corne_de_bicyclette, automobile_corne, moteur_corne",YES
,bn:00007596n,,"bel, b",A logarithmic unit of sound intensity equal to 10 decibels,bel,YES
,bn:00007601n,,"licorice_stick, b-flat_clarinet",The ordinary clarinet with a middle range,"bâton_de_réglisse, clarinette_si_bémol, clarinette_en_si_bémol",YES
,bn:00007613n,,"baa, bleating, baaing",The cry made by sheep,"bêlement, bêler",YES
,bn:00007635n,,babel,A confusion of voices and other sounds,"brouhaha, vacarme",YES
,bn:00007665n,,"parlor_grand_piano, parlor_grand, baby_grand_piano, parlour_grand, parlour_grand_piano, baby_grand",A small grand piano,"piano_demi-queue, piano_à_queue, crapaud, quart_de_queue, demi-queue, petit_quart_de_queue, grand_quart_de_queue, salon_de_piano_à_queue, grand_salon",YES
,bn:00007775n,,backfire,A loud noise made by the explosion of fuel in the manifold or exhaust of an internal combustion engine,pétarade,YES
,bn:00007788n,,"background_level, noise_level, ambient_noise",The amplitude level of the undesired background noise,"niveau_de_bruit, niveau_du_bruit_de_fond, niveau_sonore, niveau_de_fond",YES
,bn:00007789n,,"background_noise, ground_noise, ambient_noise",Extraneous noise contaminating sound measurements that cannot be separated from the desired signal,"bruit_de_fond, bruit, bruit_électronique, bruit_ambiant, niveau_de_bruit, le_bruit_de_fond",YES
,bn:00008123n,,ball,The people assembled at a lavish formal dance,"bal, balle, boule",YES
,bn:00008128n,,"ball, formal, ball_dance, balls, charity_ball, society_ball",A lavish dance requiring formal attire,"bal, salle_de_bal, balle, boule",YES
,bn:00008164n,,"ballerina, danseuse, ballet dancer",A female ballet dancer,"ballerine, danseuse, premier_danseur",YES
,bn:00008165n,,"ballet, 1939_ballet_premieres, 20th_century_concert_dance, ballett, performance_dances,  2011_ballet_premieres, 1914_ballet_premieres, 1940_ballet_premieres, un/locode:inblt, ballet_schools, ballet_characters, balletomanes, 1915_ballet_premieres, ballet_teachers, concert_dancer, balet, 1916_ballet_premieres, 1938_ballet_premieres, balletti,  ballets, ballet_competitions, concert_dance, theatre_dance, performance_dance, dance_theatre, dance_theater, scenic_dance, show_dance, stage_dance, ballet_dance, showdance,  classical_dance, ballet_dancing, dance_performance, balletto",A theatrical representation of a story that is performed to music by trained dancers,"ballet, ballets, danseur_classique, danseuse_classique, histoire_du_ballet, la_danse_classique, danse_classique, grand_ballet, spectacle_de_danse, danse_de_scène, ballet_classique, danse_théâtre, concert_danse, showdance",YES
,bn:00008167n,,"ballet_company, ballet_companies_in_france, ballet_companies_in_canada, ballet_companies_in_denmark, ballet_companies_in_korea, ballet_companies_in_sweden, ballet_companies_in_china, ballet_companies_in_italy, ballet_companies_in_switzerland, ballet_companies_in_the_philippines, ballet_companies_in_australia, ballet_companies_in_the_united_kingdom, ballet_companies",A company that produces ballets,"compagnie_de_ballet, compagnie_de_danse, compagnies_de_ballet",YES
,bn:00008168n,,"ballet_dancer, ballet_dancers, prima_ballerinas, premier_sujet, primae_ballerinae, ballarina_dancer, coryphee, ballerinos, coryphée, ballerino, primera_bailarina, premiere_danseuse, absoluta, premier_danseur_noble, danseurs, assolutas, ballarina_dancers, sujet, ballerinas, ballerina",A trained dancer who is a member of a ballet company,"danseur_de_ballet, première_danseuse, premier_danseur, danseur_classique, danseuse_classique, ballerines, danseurs_de_ballet, danseuse_de_ballet, ballerine",YES
,bn:00008169n,,"ballet_master, balletmaster, premier_maître_de_ballet, premier_maître_de_ballet_en_chef, ballet_mistresses, paul_talgioni, maría_de_ávila, ballet_masters, paul_taglioni, maria_de_avila, premier_maitre_de_ballet, maitre_de_ballet, maître_de_ballet, premier_maitre_de_ballet_en_chef, maître_de_ballet_en_chef, maitre_de_ballet_en_chef, balletmasters",A man who directs and teaches and rehearses dancers for a ballet company,"maître_de_ballet, maitre_de_ballet, balletmaster",YES
,bn:00008170n,,"ballet_mistress, ballet_master",A woman who directs and teaches and rehearses dancers for a ballet company,"maîtresse_de_ballet, maître_de_ballet",YES
,bn:00008171n,,"ballet_position, basic_position_in_ballet, positions_of_the_feet_in_ballet",Classical position of the body and especially the feet in ballet,"position_de_ballet, position_classique, positions_classiques",YES
,bn:00008172n,,"tutu, ballet_tutu, ballerina_tootoo, ballet_skirt, ballet_dress",Very short skirt worn by ballerinas,"tutu, tutu_de_ballet, tutus_de_ballets",YES
,bn:00008173n,,balletomane,A ballet enthusiast,balletomane,YES
,bn:00008321n,,"bandstand, outdoor_stage, band_stand, bandshell, music_kiosk, stand, , bandstands, band_rotunda",A platform where a (brass) band can play in the open air,"kiosque_à_musique, kiosque, stand, étal, scène_extérieure, être_debout",YES
,bn:00008324n,,bandwagon,A large ornate wagon for carrying a musical band,"char_de_parade, char_musical, char",YES
,bn:00008361n,,"banjo, tenor_banjo, 4-string_banjo, benjo, 5-string_banjo, open_back_banjo, banjo_string, four-string_banjo, banjer, electric_banjo, classic_banjo, five-string_banjo, banjos, fingerpicking_banjo, stealth_banjo",A stringed instrument of the guitar family that has long neck and circular body,"banjo, banjo_ténor, cinq_cordes_banjo, banjo_à_cinq_cordes",YES
,bn:00008597n,,"bark, dog_barking, woof, woofing, yelp, wuff, dog_bark",The sound made by a dog,"aboiement, ouaf_ouaf, ouaf, aboi, écorce, aboyer",YES
,bn:00008615n,,"barn_dance, barndance",A dance party featuring country dancing,"barn_dance, danse_des_granges, danse_de_grange, danse_de_la_grange, danse_campagnarde, barndance",YES
,bn:00008917n,,"bass, bass_instrument",The member with the lowest range of a family of musical instruments,basse,YES
,bn:00008924n,,"tuba, bombardon, sousaphone, bass_horn, bass_tuba, serpent, bombardone, contrabass_tuba, sousaphonist, brass_bass, jazz_tuba, susaphone, sousaphon",The lowest brass wind instrument,"tuba, sousaphone, soubassophone, tubiste, tuba_contrebasse, bass_horn, serpent, tuba_basse",YES
,bn:00008941n,,"basso_profundo, deep_bass, basso_profondo, octavist, oktavist, low_bass, russian_bass",A very deep bass voice,"basse_profonde, basse_noble, basse_nivette, basse-contre, basse_profondo, basso_profundo, basse_profundo",YES
,bn:00008942n,,"bassoon, buffet_system, fagotte, french_bassoon, fagotti, fagotto, bassoons, baßoon, fagott, pancake_key, fagot, basoonist, basoon, heckel_system",A double-reed instrument; the tenor of the oboe family,"basson, fagott, bassoniste, bassons",YES
,bn:00009208n,,"shouter, yeller, bawler, roarer, screamer, screecher, squawker, bellower",Someone who communicates vocally in a very loud voice,"crieur, crieuse, hurleur, hurleuse, aboyeur, aboyeuse, shouter, bellower, yeller, roarer, screecher",YES
,bn:00009210n,,"bawling, wailing",Loud cries made while weeping,"pleurs, brailler, pleur, larmoiement, larmoiements, crise_de_larmes",YES
,bn:00009213n,,bay,The sound of a hound on the scent,"cri, aboiement, baie, laurier",YES
,bn:00009397n,,"beat, battimenti, idosing, batimientos, beat_frequency, interference_beating, acoustical_beat, beating, beating_frequency, beat_wave, binaural_beat, acoustic_beat, interference_beat, binaural_frequency, binaural_tones, binaural_frequencies, beat_note",A single pulsation of an oscillation produced by adding two waves of different frequencies; has a frequency equal to the difference between the two oscillations,"battement, phénomène_de_battement, fréquence_battement",YES
,bn:00009399n,,beat,The sound of stroke or blow,temps,YES
,bn:00009412n,,"reed_instrument, reed_aerophone, beating-reed_instrument, reed",A musical instrument that sounds by means of a vibrating reed,"instrument_à_anche, anche",YES
,bn:00009418n,,"beats_per_minute, metronome_marking, bpm, m.m.",The pace of music measured by the number of beats occurring in 60 seconds,"battements_par_minute, bpm, m.m., métronome_marquage",YES
,bn:00009587n,,"beep, bleep, bleep_sound, beep_sound, breep, *beep*",A short high tone produced as a signal or warning,"bip, top",YES
,bn:00009650n,,beguine,A ballroom dance that originated in the French West Indies; similar to the rumba,"biguine, béguine, beguine",YES
,bn:00009727n,,bell,A hollow device made of metal that makes a ringing sound when struck,"cloche, sonnette, clochette",YES
,bn:00009728n,,"doorbell, buzzer, bell, doorbells, intelligent_door_bell, door_chime, door_bell",A push button at an outer door that gives a ringing or buzzing signal when pushed,"sonnette, clochette, cloche",YES
,bn:00009729n,,"toll, ring, bell",The sound of a bell being struck,"sonnerie, coup, cloche, glas, sonnette",YES
,bn:00009733n,,"tubular_bells, chimes, bell, chime, gong",A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument,"carillon_tubulaire, cloche_tubulaire, cloches_d'orchestre, carillon, gong, sonnette, cloche",YES
,bn:00009757n,,"bell_ringer, toller, bell-ringer, ringer",A person who rings church bells (as for summoning the congregation),"carillonneur, sonneur ",YES
,bn:00009760n,,bell_ringing,The sound of someone playing a set of bells,sonnerie_de_cloches,YES
,bn:00009762n,,"bell_ringing, carillon_playing, campanology, carillon",Playing a set of bells that are (usually) hung in a tower,"sonner_la_cloche, carillon, campanologie, carillon_jouant, campanaire, sonneur",YES
,bn:00009781n,,"charivari, shivaree, chivaree, skimmington, skimmington_ride, rough_music, callithump, belling, callathump, shivery, chiarivari, riding_the_stang, chiverie, skimmity_ride",A noisy mock serenade (made by banging pans and kettles) to a newly married couple,"charivari, chahut, brame, chivaree, shivaree",YES
,bn:00009787n,,"roar, roaring, bellowing, holler, hollo, holla, hollering, holloa, rawr, yowl, bellow",A very loud utterance (like the sound of an animal),"rugissement, hollo, holla, holà! rugir, gronder, crier, brailler, hurler,  mugissement, beuglement, hurlement",YES
,bn:00009801n,,"belly_dance, belly_dancing, danse_du_ventre, belly_dancers, raks_sharki, hootchy-kootchy, belly_dance_in_the_west, hootchy_kootchy_dance, raks_sharqi, raqs_shaki, raqs_sharki, bellydancer, belly-dance, raqs_al_sharqi, muscle_dance, belly-dancer, muscle_dancer, abdominal_dance, egyptian_belly_dance, hootchie_kootchie_dance, raks_al_sharqi, belly-dancing, bellydancing, muscle_dancing, houchee_kouchee, bellydance_in_the_west, bellydance, arabic_dance",A Middle Eastern dance in which the dancer makes sensuous movements of the hips and abdomen,"danse_du_ventre, danse_orientale, raqs_al_sharqi, raqs_el_sharki, sharqi, baladi, la_danse_du_ventre, danseuses_du_ventre",YES
,bn:00009802n,,"belly_dancer, exotic_dancer, exotic_belly_dancer",A woman who performs a solo belly dance,"danseuse_orientale, danseuse_du_ventre, danseuse_du_ventre_exotique",YES
,bn:00010608n,,"raspberry, bronx_cheer, boo, boos, bird, razz, hiss, snort, razzing, hoot",A cry or noise made to express displeasure or contempt,"pétarade, pfft, tchip, framboise, oiseau, razz, huer, bronx_cheer, sifflement, hou, razzing",YES
,bn:00010649n,,"bird_vocalisation, bird_call, birdsong, call, song, birdsong, birdcall, bird_song",The characteristic sound produced by a bird,"vocalisation_des_oiseaux, chant_des_oiseau, son_d'oiseau, chant, vocalise, le_chant_des_oiseaux, chanson, appels_d'oiseaux, appeau, chant, ramage, cri, appeler, chant_des_oiseaux",YES
,bn:00010650n,,"bird_call, birdcall",A device for imitating a birdcall,appeau,YES
,bn:00010662n,,"whirr, whir, burr, buzz, drone, hum, whiz, whizz, zoom, whirring, birr",Sound of something in rapid motion,"vrombissement, bourdonnement, vrombissant",YES
,bn:00011186n,,bleat,The sound of sheep or goats (or any sound resembling this),"bêler, bêlement",YES
,bn:00011535n,,blue_murder,An extravagantly loud outcry,"cri_de_protestation, crier_au_meurtre, crier_comme_un_putois, éclat_de_voix, crier_au_scandale, assassiner_bleu",YES
,bn:00011620n,,bluster,Noisy confusion and turbulence,,YES
,bn:00011856n,,bolero,A Spanish dance in triple time accompanied by guitar and castanets,boléro,YES
,bn:00011930n,,"helicon, bombardon, hélicon",A tuba that coils over the shoulder of the musician,"hélicon, bombardon, contrebasse_de_bombarde, hélikon, helicon, bombarde",YES
,bn:00011943n,,"buzz, bombilation, bombination",Sound of rapid vibration,"bourdonnement, buzz_marketing, bombilation, bombination",YES
,bn:00012024n,,bong,A dull resonant sound as of a bell,"bong, dong, bonng, boing, boink",YES
,bn:00012025n,,"bongo, bongo_drum, bongos",A small drum; played with the hands,"bongo, bongó, bongo_tambour",YES
,bn:00012124n,,"booking_agent, booker, talent_agent, music_agent",Someone who engages a person or company for performances,"booker, tourneur",YES
,bn:00012146n,,"thunder, roaring, roar, boom, thunderclap, clap_of_thunder, peal_of_thunder",A deep prolonged loud noise,"tonnerre, tonner, gronder",YES
,bn:00012148n,,"boom, microphone_boom, mike_boom",A pole carrying an overhead microphone projected over a film or tv set,"perche, perche_microphonique, bôme, le_bras_du_microphone",YES
,bn:00012466n,,"bow, bow_technique, french_bow, abstrich, aufstrich, bowing_technique, german_bow, talon",A slightly curved piece of resilient wood with taut horsehair strands; used in playing certain stringed instruments,"archet, arc, dominique_peccatte, archetier, mèche",YES
,bn:00012472n,,bow,A stroke with a curved piece of wood with taut horsehair strands that is used in playing stringed instruments,"archet, proue, arc",YES
,bn:00012474n,,"bow-wow, bowwow, woof",The bark of a dog,"ouaf, ouaf_ouaf, toutou",YES
,bn:00012483n,,"bowed_stringed_instrument, string, bowed_string_instrument, bowed_instrument, bowed, bowed_strings, bowed_instruments",Stringed instruments that are played with a bow,"instrument_à_cordes_frottées, instruments_à_cordes_frottées, instrument_a_cordes_frottees, cordes",YES
,bn:00012492n,,bowing,Managing the bow in playing a stringed instrument,coup_d'archet,YES
,bn:00012790n,,"brass_instrument, labrophone, labrosone, brass, trigger, throw, labrosones, brass_instruments, trumpets, list_of_20th_century_brass_instrumentalists, brass_instrument_construction, labrophones, brass_wind_instrument",A wind instrument that consists of a brass tube (usually of variable length) that is blown by means of a cup-shaped or funnel-shaped mouthpiece,"cuivre, instrument_de_cuivre, instrument_de_la_famille_des_cuivres, cuivres,  instrument_à_vent, laiton,  instrument_à_vent,_cuivres",YES
,bn:00012796n,,brass_family,(music) the family of brass instruments,famille_des_cuivres,YES
,bn:00012841n,,bravo,A cry of approval as from an audience at the end of great performance,bravo,YES
,bn:00012904n,,"voice_crack, voice_change, voice_mutation, voice_break, break",An abrupt change in the tone or register of the voice (as at puberty or due to emotion),voix_cassée,YES
,bn:00012913n,,"breakdancing, b-boying, breaking, break_dance, break_dancing, b-girling, breakdance, break-dancing, break-dancers, break_dancers, breakin'",A form of solo dancing that involves rapid acrobatic moves in which different parts of the body touch the ground; normally performed to the rhythm of rap music,"breakdance, break_dance, b-boying, break, breaking, breakdancing, b-boy, danse_hip_hop, breaker, bboy, bgirl, l'histoire_du_breakdance, histoire_du_breakdance, hip-hop_dance, break_dancer, breakdancer, break-dance, danseur_de_breakdance, b-boys",YES
,bn:00013082n,,"bridge, electric_guitar_bridge",A wooden support that holds the strings up,"chevalet, pont, sauterelle",YES
,bn:00013386n,,brouhaha,A confused disturbance far greater than its cause merits,brouhaha,YES
,bn:00013544n,,bubble_dance,A solo dance similar to a fan dance except large balloons are used instead of fans,"bubble_dance, danse_bulle",YES
,bn:00013583n,,buck-and-wing,A solo tap dance emphasizing sharp taps,"buck-and-wing, buck-and-aile",YES
,bn:00013712n,,"bugle, keyed_bugle, kent_bugle, bugle_scale, bugle_major, bugleret",A brass instrument without valves; used for military calls and fanfares,"clairon, trompe",YES
,bn:00013715n,,"bugle_call, school_call, bugle_calls, call_to_quarters, trumpet_call, call_to_colors, to_the_colors, bugling",A signal broadcast by the sound of a bugle,"sonnerie_militaire, sonnerie_de_clairon, sonneries_réglementaires, sonnerie",YES
,bn:00013824n,,"loud_hailer, bullhorn, loud-hailer, loudhailer, megaphone, speaking-trumpet, blowhorn",A portable loudspeaker with built-in microphone and amplifier,"mégaphone, porte-voix",YES
,bn:00013906n,,bunny_hug,A syncopated ballroom dance formerly popular in the US,"bunny_hug, câlin_lapin",YES
,bn:00013965n,,burglar_alarm,A loud warning signal produced by a burglar alarm,"alarme, antivol, système_antivol, alarme_anti-intrusion ",YES
,bn:00014177n,,"busker, street_performer, street_musician","A person who entertains people for money in public places (as by singing or dancing), usually while asking for money","artiste_de_rue, musicien_de_rue, arts_de_la_rue, amuseurs_publics, musicien_ambulant",YES
,bn:00014342n,,"buzzer, buzzers",A signaling device that makes a buzzing sound,"buzzer, bipeur, , beeper, sémaphone",YES
,bn:00014378n,,"c, b-sharp, b_sharp, b♯, eighth_octave_c, low_c, b#, do_note, soprano_c, tenor_c, baritone_c, deep_c, high_c, triple_high_c, c_in_the_eighth_octave",(music) the keynote of the scale of C major,"do, ut",YES
,bn:00014401n,,"c_major, c_major_scale, scale_of_c_major, key_of_c, c, za, c-major, d_double-flat_major",(music) the major scale having no sharps or flats,"do_majeur, ut_majeur, majeur, échelle_de_do_majeur, gamme_de_do_majeur",YES
,bn:00014490n,,cachinnation,Loud convulsive laughter,"fou-rire, cachinnation",YES
,bn:00014494n,,cackle,The sound made by a hen after laying an egg,"caquet, gloussement",YES
,bn:00014495n,,"chatter, yack, yak, yakety-yak, cackle",Noisy talk,"bavardage, yack, yak, yakety_yak",YES
,bn:00014496n,,cackle,A loud laugh suggestive of a hen's cackle,"gloussement, ricanement",YES
,bn:00014504n,,"cacophony, euphony",Loud confusing disagreeable sounds,"cacophonie, euphonie",YES
,bn:00014521n,,"cadence, cadency",A recurrent rhythmical series,"cadence, brisure",YES
,bn:00014793n,,"yell, vociferation, outcry, shout, call, cry",A loud utterance; often in protest or opposition,"tollé, vocifération, cri, protestation, crier, pleurer",YES
,bn:00014827n,,"caller, caller-out, call, dance_caller",A person who announces the changes of steps during a dance,"câll, call, appelant, appelant_départ",YES
,bn:00015176n,,"French_cancan,  french_cancan, can_can, tiered_petticoat, the_can_can, can_can_dancing, can-can_dancing, the_can-can, chahut, grisettes, quadrille_des_clodoches, cancan, can-can",A high-kicking dance of French origin performed by a female chorus line,"french_cancan, cancan, can-can, french-cancan",YES
,bn:00015365n,,cantillation,Liturgical chanting,cantillation,YES
,bn:00015367n,,canto,The highest part (usually the melody) in a piece of choral music,"chant, canto",YES
,bn:00015377n,,"cantor, hazzan, chazzan, hazan, cantoral_music, hazzanim, shaliach_tzibur, jewish_cantor, shaliach_tzibbur, chazanim, hazzen, khazn, sheliah_tsibbur, hazzanut, chazen, khazone, ḥazan, ḥazzanim, chazzen, chazanuth, role_of_the_cantor_in_judaism, chazan, ḥazzan",The official of a synagogue who conducts the liturgical part of the service and sings or chants the prayers intended to be performed as solos,"hazzan, grand_chantre, chantre, hazan, hazzanim, praecentor, paraphoniste, archiparaphoniste, precentor, chantres, chazan",YES
,bn:00015417n,,"condenser_microphone, capacitor_microphone, condenser_mike, capacitor_mike, electrostatic_microphone",Microphone consisting of a capacitor with one plate fixed and the other forming the diaphragm moved by sound waves,"microphone_à_condensateur, microphone_électrostatique",YES
,bn:00015980n,,"cardioid_microphone, cardioid_mike",A directional microphone with a cardioid pattern of sensitivity,microphone_cardioïde,YES
,bn:00016078n,,"carillon, carillonist, carollon, carilloni, carillonists, carillonneurs, carallon, carillons, carillon_bell",Set of bells hung in a bell tower,"carillon, carillons, sonneurs, carillonneur",YES
,bn:00016155n,,"christmas_song, christmas_carol, carol, noel, hirtenlieder, kalanda, christmas_hymn, weihnachtslied, christian_carol, kalanta, hirtenlied, weihnachtslieder, christmas_carrol, christmas_carols",Joyful religious song celebrating the birth of Christ,"chant_de_noël, chanson_de_noël, noël, chants_de_noël, chansons_de_noël, , kolyada, noëliste, chanson_de_noēl, chœur, chant_de_noel",YES
,bn:00016156n,,"Christmas_song, carol, kalanda, carol_singer, kálanda, carolers, carols, nowel",A joyful song (usually celebrating the birth of Christ),"chant_de_Noël, carole, chant, chants",YES
