wn_synset,bn:id,pos,lemmata EN,definition,is it related to music?,note,removed EN
,bn:00012474n,,bow-wow,The bark of a dog,YES,,
,bn:00012472n,,bow,A stroke with a curved piece of wood with taut horsehair strands that is used in playing stringed instruments,YES,,
,bn:00012483n,,"string, bowed_stringed_instrument, bowed_string_instrument, bowed_instrument, bowed, bowed_strings, bowed_instruments",Stringed instruments that are played with a bow,YES,,
,bn:00012492n,,bowing,Managing the bow in playing a stringed instrument,YES,,
,bn:00012796n,,brass_family,(music) the family of brass instruments,YES,,
,bn:00012790n,,"brass_instrument, brass, trigger, throw, labrosones, brass_instruments, trumpets, list_of_20th_century_brass_instrumentalists, brass_instrument_construction, labrophones, brass_wind_instrument, labrophone, brass_musical_instrument, labrosone, 20th_century_brass_instrumentalists, lip-reed_instrument, ottoni",A wind instrument that consists of a brass tube (usually of variable length) that is blown by means of a cup-shaped or funnel-shaped mouthpiece,YES,,
,bn:00012841n,,bravo,A cry of approval as from an audience at the end of great performance,YES,,
,bn:00012904n,,"break, voice_crack",An abrupt change in the tone or register of the voice (as at puberty or due to emotion),YES,,
,bn:00012913n,,"break_dance, breakdancing, break_dancing, b-girling, breakdance, break-dancers, b-boying, break_dancers, breakin', breaking",A form of solo dancing that involves rapid acrobatic moves in which different parts of the body touch the ground; normally performed to the rhythm of rap music,YES,,
,bn:00013082n,,"bridge, electric_guitar_bridge",A wooden support that holds the strings up,YES,,
,bn:00013386n,,brouhaha,A confused disturbance far greater than its cause merits,YES,,
,bn:00013544n,,bubble_dance,A solo dance similar to a fan dance except large balloons are used instead of fans,YES,,
,bn:00013583n,,buck-and-wing,A solo tap dance emphasizing sharp taps,YES,,
,bn:00013715n,,"bugle_call, school_call, bugle_calls, call_to_quarters, trumpet_call, bugling, call_to_colors, to_the_colors",A signal broadcast by the sound of a bugle,YES,,
,bn:00013712n,,"bugle, keyed_bugle, kent_bugle, bugle_scale, bugle_major, bugleret",A brass instrument without valves; used for military calls and fanfares,YES,,
,bn:00013824n,,"loud_hailer, bullhorn, loud-hailer, loudhailer",A portable loudspeaker with built-in microphone and amplifier,YES,,
,bn:00013906n,,bunny_hug,A syncopated ballroom dance formerly popular in the US,YES,,
,bn:00013965n,,burglar_alarm,A loud warning signal produced by a burglar alarm,YES,,
,bn:00014177n,,"busker, street_musician","A person who entertains people for money in public places (as by singing or dancing), usually while asking for money",YES,,
,bn:00014342n,,"buzzer, buzzers",A signaling device that makes a buzzing sound,YES,,
,bn:00014378n,,"c, b-sharp, b_sharp, b♯, eighth_octave_c, low_c, b#, do_note, soprano_c, tenor_c, baritone_c, deep_c, high_c, triple_high_c, c_in_the_eighth_octave",(music) the keynote of the scale of C major,YES,,
,bn:00014401n,,"c_major, c_major_scale, scale_of_c_major, key_of_c, c, za, c-major, d_double-flat_major",(music) the major scale having no sharps or flats,YES,,
,bn:00014490n,,cachinnation,Loud convulsive laughter,YES,,
,bn:00014496n,,cackle,A loud laugh suggestive of a hen's cackle,YES,,
,bn:00014494n,,cackle,The sound made by a hen after laying an egg,YES,,
,bn:00014495n,,"cackle, yak, yakety-yak, chatter, yack",Noisy talk,YES,,
,bn:00014504n,,"cacophony, euphony",Loud confusing disagreeable sounds,YES,,
,bn:00014521n,,"cadency, cadence",A recurrent rhythmical series,YES,,
,bn:00014827n,,"caller, caller-out, call, dance_caller",A person who announces the changes of steps during a dance,YES,,
,bn:00014793n,,"yell, vociferation, outcry, shout, call, cry",A loud utterance; often in protest or opposition,YES,,
,bn:00015176n,,"cancan, can-can, can_can, tiered_petticoat, french_cancan, the_can_can, can_can_dancing, can-can_dancing, the_can-can, chahut, grisettes, quadrille_des_clodoches",A high-kicking dance of French origin performed by a female chorus line,YES,,
,bn:00015365n,,cantillation,Liturgical chanting,YES,,
,bn:00015367n,,canto,The highest part (usually the melody) in a piece of choral music,YES,,
,bn:00015377n,,"cantor, hazan, hazzan, chazzan, cantoral_music, hazzanim, shaliach_tzibur, jewish_cantor, shaliach_tzibbur, chazanim, hazzen, khazn, sheliah_tsibbur, hazzanut, chazen, khazone, ḥazan, ḥazzanim, chazzen, chazanuth, role_of_the_cantor_in_judaism, chazan, ḥazzan",The official of a synagogue who conducts the liturgical part of the service and sings or chants the prayers intended to be performed as solos,YES,,
,bn:00015417n,,"condenser_microphone, capacitor_microphone, condenser_mike, capacitor_mike",Microphone consisting of a capacitor with one plate fixed and the other forming the diaphragm moved by sound waves,YES,,
,bn:00015980n,,"cardioid_microphone, cardioid_mike",A directional microphone with a cardioid pattern of sensitivity,YES,,
,bn:00016078n,,"carillon, carillonist, carollon, carilloni, carillonists, carillonneurs, carallon, carillon_bell, carillons",Set of bells hung in a bell tower,YES,,
,bn:00016156n,,"carol, kalanda, carol_singer, kálanda, carolers, carols, nowel",A joyful song (usually celebrating the birth of Christ),YES,,
,bn:00016155n,,"christmas_carol, carol, noel, christmas_song, hirtenlieder, kalanda, christmas_hymn, weihnachtslied, christian_carol, kalanta, hirtenlied, weihnachtslieder, christmas_carrol, christmas_carols",Joyful religious song celebrating the birth of Christ,YES,,
,bn:00016335n,,"pickup, cartridge, pick_up, guitar_pickup, electro-magnetic_pickup, guitar_pickups, passive_pickup, active_pickup, piezoelectric_pickup, bass_pickup, guitar_pick-up, optical_pickups, magnetic_pickup, piezo_pickup, picup, electromagnetic_pickup, electronic_pickup",An electro-acoustic transducer that is the part of the arm of a record player that holds the needle and that is removable,YES,,
,bn:00016498n,,cassette_player,Electronic equipment for playing cassettes,YES,,
,bn:00016499n,,cassette_recorder,A recorder for recording or playing cassettes,YES,,
,bn:00016500n,,"cassette_tape, compact_audio_cassette, audio_cassette, music_cassette, compact_cassette, compact_cassette_tape, compact_casette, musicassette, compact_casettes, standard_audio_cassette, cassette_tape_recorder, tape_salad, compact_audio_cassettes, cassette, casette_tape, metafine, tape, mc, music_cassettes, music_cartridge, metal_tape, musiccassette, radio_casette, compactcasette, music-cassette, k7, 120_minute_compact_cassette, auto-reverse, audio_cassette_interface, audio_tape, auto_reverse, tape_cassette, cassettetape, pop_tape, autoreverse, magnetophone_cassette, audio_cassettes, cassette-tape_recorder, c-cassette, cassette_tapes, cassette_tape_interface, eaten_tape, audio_cartridge, audio_cassette_tape, audio_casette, chewed_tape, musicassettes, cc, c90_audio_cassette, cassete_tape, bandsalat, type_iv_tape, magnetophone_cassettes, cassette_interface, music-cassettes",A cassette that contains magnetic tape,YES,,
,bn:00016698n,,catcall,A cry expressing disapproval,YES,,
,bn:00016741n,,"caterwaul, cat_communication, feline_behaviour, olfactory_communication_in_cats, catfight, cat-specific_body_language, merow, cat_behavior, language_of_cats, cat_behaviour, feline_ethology, cat_grooming, cat_kneading, behavior_of_cats, feline_behavior, mreow, left-righting",The yowling sound made by a cat in heat,YES,,
,bn:00016901n,,caw,The sound made by corvine birds,YES,,
,bn:00016915n,,"compact_disc, cd, compact_disk, compact_disks, compact_discs, cd_quality, un_cd, c_d, digital_record, compactdisk, cd_recording, cds, compact_laser_disc, cd-quality, audio_cds, cd_audio, compact_audio_disc, midi_disc, c.d, c.d., music_compact_disc, compact_laser_disk",A digitally encoded recording on an optical disk that is smaller than a phonograph record; played back by a laser,YES,,
,bn:00000132n,,"seventy-eight, 78, 78_rpm",A shellac based phonograph record that played at 78 revolutions per minute,YES,,
,bn:00017079n,,"harpsichord, cembalo, clavecin, clavicembalo, virginalls, arpicordo, harpsichord_materials, harpsi, english_virginal, harpsichords, harpischord, klavecimbel, harpsicall, harpsicord, clavicymbal, clavessin, harpsicon, virginall",A clavier with strings that are plucked by plectra mounted on pivots,YES,,
,bn:00017444n,,"cha-cha-cha, cha-cha, cha-cha-chá, the_cha_cha, cha_cha_dance",A modern ballroom dance from Latin America; small steps and swaying movements of the hips,YES,,
,bn:00017519n,,chair,A particular seat in an orchestra,YES,,
,bn:00017671n,,"change_ringing, change-ringing, striking_contest, bellringer, cinques, blue_line, striking_competition, half-muffled, plain_bob_doubles, bell-ringing, doubles, learning_change_ringing, plain_bob_triples",Ringing tuned bells in a fixed order that is continually changing,YES,,
,bn:00017703n,,chantry,An endowment for the singing of Masses,YES,,
,bn:00017881n,,"charleston, the_charleston, charleston_rhythm, charleston_dance",An American ballroom dance in syncopated rhythm; popular early in the 20th century,YES,,
,bn:00017930n,,"chasse, sashay, chassé, chassé_step",(ballet) quick gliding steps with one foot always leading,YES,,
,bn:00018030n,,"peep, cheep, chirp",The short weak cry of a young bird,YES,,
,bn:00018429n,,"chinrest, chin_rest",A rest on which a violinist can place the chin,YES,,
,bn:00018493n,,"chink, clink, click",A short light metallic sound,YES,,
,bn:00018542n,,chirp,A sharp sound made by small birds or insects,YES,,
,bn:00018544n,,"chirrup, twitter",A series of chirps,YES,,
,bn:00018668n,,"choir_loft, matroneum",A gallery in a church occupied by the choir,YES,,
,bn:00018667n,,"choir, quire, choir-loft, choir_enclosure, choir_stalls, choir_stall, quire,_choir, choir-stalls",The area occupied by singers; the part of the chancel between sanctuary and nave,YES,,
,bn:00018742n,,choral_ode,Ode sung by the chorus in classical Greek drama,YES,,
,bn:00018741n,,"chorale, choral",A stately Protestant (especially Lutheran) hymn tune,YES,,
,bn:00018761n,,choreography,The representation of dancing by symbols as music is represented by notes,YES,,
,bn:00018759n,,choreographer,Someone who creates new dances,YES,,
,bn:00018754n,,"chordophone, string_instrument, stringed_instrument, stick_chordophone, simple_chordophone, frame_chordophone, composite_chordophone, cordophone, tube_chordophone, bar_chordophone, raft_chordophone, board_chordophone, trough_chordophone, chordophones","A stringed instrument of the group including harps, lutes, lyres, and zithers",YES,,
,bn:00018760n,,"choreography, dance_composition, choreographic_composition, stage_dancing, dance_choreography, composition",A show involving artistic dancing,YES,,
,bn:00018762n,,"choreography, fan_choreography",A notation used by choreographers,YES,,
,bn:00018780n,,"chuckle, chortle",A soft partly suppressed laugh,YES,,
,bn:00018745n,,"chord, musical_chord, octave_chord, chord_stream, chord-based, chord_symbol, piano_chord, sonority, suspended_fourth, accordo, chord_symbols, piano_chords",A combination of three or more notes that blend harmoniously when sounded together,YES,,
,bn:00019279n,,"zither, cither, zithern, cittern, board_zither, cetra_da_tavola, simple_chordophone, the_zither, zithers, zitherist",A musical stringed instrument with strings stretched over a flat sounding board; it is laid flat and played with a plectrum and with fingers,YES,,
,bn:00019424n,,"hue_and_cry, clamouring, clamor, clamour, clamoring",Loud and persistent outcry from many people,YES,,
,bn:00019456n,,clarinet_section,The section of a band or orchestra that plays clarinets,YES,,
,bn:00019458n,,"clarion, clarino_trumpet",A medieval brass instrument with a clear shrill tone,YES,,
,bn:00019455n,,"clarinet, a_clarinet, clarinets, clarenet, b♭_clarinet, clarinet_in_a, clarinette, klarino, clarionet, clerinet, b_flat_clarinet, e-flat_clarinets",A single-reed instrument with a straight tube,YES,,
,bn:00019568n,,"classical_ballet, ballet_lessons, ballo_classico, ballet_lesson, ballet_training",A style of ballet based on precise conventional steps performed with graceful and flowing movements,YES,,
,bn:00019614n,,"piano_keyboard, clavier, keyboard, fingerboard",A bank of keys on a musical instrument,YES,,
,bn:00019759n,,click-clack,A succession of clicks,YES,,
,bn:00019761n,,"clickety-clack, clickety-click",A fast and rhythmic click-clack,YES,,
,bn:00019853n,,"clopping, clop, clunking, clip-clop, clumping, clippety-clop",The sound of a horse's hoofs hitting on a hard surface,YES,,
,bn:00019905n,,clog_dancer,Someone who does clog dancing,YES,,
,bn:00019904n,,"clog_dance, clog, clog_dancing",A dance performed while wearing shoes with wooden soles; has heavy stamping steps,YES,,
,bn:00020057n,,"cluck, clucking",The sound made by a hen (as in calling her chicks),YES,,
,bn:00020060n,,"thumping, thud, thump, clump, clunk",A heavy dull sound (as made by impact of heavy objects),YES,,
,bn:00020269n,,"cock-a-doodle-doo, cocka-doodle-doo, cockadoodledoo",An imitation of the crow of a cock,YES,,
,bn:00021069n,,"triad, common_chord, harmonic_triad, triadic_music, pivot_chord, common-chord, triadic, pivot, theory_of_triads, triadic_chord, diatonic_pivot_chord",A three-note major or minor chord; a note and its third and fifth tones,YES,,
,bn:00021129n,,"common_time, four-four_time, quadruple_time, common_measure",A time signature indicating four beats to the bar,YES,,
,bn:00021213n,,"rumpus, ruckus, ruction, commotion, tumult, din",The act of making a noisy disturbance,YES,,
,bn:00021560n,,"music_lover, concert-goer",Someone who attends concerts,YES,,
,bn:00021563n,,concert_hall,A hall where concerts are given,YES,,
,bn:00021562n,,"concert_grand, concert_piano",A grand piano suitable for concert performances,YES,,
,bn:00021598n,,"harmony, concord, concordance",A harmonious state of things in general and of their properties (as of colors and sounds); congruity of parts with one another and with the whole,YES,,
,bn:00021797n,,conga,A Latin American dance of 3 steps and a kick by people in single file,YES,,
,bn:00022011n,,"harmoniousness, consonance",The property of sounding harmonious,YES,,
