wn_synset,bn:id,lemmata EN,definition,lemmata DE,is it related to music?
,bn:00000976n,"acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_acoustic_impedance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, acoustical_impedance, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, sound_impedance, volume_velocity, specific_acoustic_impedance",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,schallimpedanz,YES
,bn:00000976n,"acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_acoustic_impedance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, acoustical_impedance, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, sound_impedance, volume_velocity, specific_acoustic_impedance",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,schallwiderstand,YES
,bn:00000976n,"acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_acoustic_impedance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, acoustical_impedance, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, sound_impedance, volume_velocity, specific_acoustic_impedance",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,akustische_flussimpedanz,YES
,bn:00000976n,"acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_acoustic_impedance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, acoustical_impedance, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, sound_impedance, volume_velocity, specific_acoustic_impedance",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,kennimpedanz_eines_mediums,YES
,bn:00000976n,"acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_acoustic_impedance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, acoustical_impedance, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, sound_impedance, volume_velocity, specific_acoustic_impedance",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,kennimpedanz,YES
,bn:00000976n,"acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_acoustic_impedance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, acoustical_impedance, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, sound_impedance, volume_velocity, specific_acoustic_impedance",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,spezifische_akustische_impedanz,YES
,bn:00000976n,"acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_acoustic_impedance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, acoustical_impedance, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, sound_impedance, volume_velocity, specific_acoustic_impedance",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,mechanische_impedanz,YES
,bn:00000976n,"acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_acoustic_impedance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, acoustical_impedance, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, sound_impedance, volume_velocity, specific_acoustic_impedance",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,schallwellenwiderstand,YES
,bn:00000976n,"acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_acoustic_impedance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, acoustical_impedance, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, sound_impedance, volume_velocity, specific_acoustic_impedance",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,spezifische_schallimpedanz,YES
,bn:00000976n,"acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_acoustic_impedance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, acoustical_impedance, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, sound_impedance, volume_velocity, specific_acoustic_impedance",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,ohmsches_gesetz_der_akustik,YES
,bn:00000976n,"acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_acoustic_impedance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, acoustical_impedance, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, sound_impedance, volume_velocity, specific_acoustic_impedance",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,schallwiderstands,YES
,bn:00000976n,"acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_acoustic_impedance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, acoustical_impedance, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, sound_impedance, volume_velocity, specific_acoustic_impedance",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,akustische_reaktanz,YES
,bn:03390978n,"alap, alapa, aalap",The alap is the opening section of a typical North Indian classical performance.,alap,YES
,bn:02579215n,"old_time_fiddle, oldtime_fiddle, old-time_fiddle, old_time_fiddling",Old time fiddle is a genre of American folk music.,alten_zeit_geige,YES
,bn:00950977n,"alternative_country, alt-country, insurgent_country, alt_country, country_gothic, alt.country, americana, hick_rock, twang_core, citygrass, alternative-country, alt._country, altcountry","Alternative country, or alternative country rock is a loosely defined subgenre of country rock, which includes acts that differ significantly in style from mainstream country music, mainstream country rock, and country pop.",alternative_country,YES
,bn:00950977n,"alternative_country, alt-country, insurgent_country, alt_country, country_gothic, alt.country, americana, hick_rock, twang_core, citygrass, alternative-country, alt._country, altcountry","Alternative country, or alternative country rock is a loosely defined subgenre of country rock, which includes acts that differ significantly in style from mainstream country music, mainstream country rock, and country pop.",alternative-country,YES
,bn:00950977n,"alternative_country, alt-country, insurgent_country, alt_country, country_gothic, alt.country, americana, hick_rock, twang_core, citygrass, alternative-country, alt._country, altcountry","Alternative country, or alternative country rock is a loosely defined subgenre of country rock, which includes acts that differ significantly in style from mainstream country music, mainstream country rock, and country pop.",americana,YES
,bn:00950977n,"alternative_country, alt-country, insurgent_country, alt_country, country_gothic, alt.country, americana, hick_rock, twang_core, citygrass, alternative-country, alt._country, altcountry","Alternative country, or alternative country rock is a loosely defined subgenre of country rock, which includes acts that differ significantly in style from mainstream country music, mainstream country rock, and country pop.",alt._country,YES
,bn:00950977n,"alternative_country, alt-country, insurgent_country, alt_country, country_gothic, alt.country, americana, hick_rock, twang_core, citygrass, alternative-country, alt._country, altcountry","Alternative country, or alternative country rock is a loosely defined subgenre of country rock, which includes acts that differ significantly in style from mainstream country music, mainstream country rock, and country pop.",amerikana,YES
,bn:00950977n,"alternative_country, alt-country, insurgent_country, alt_country, country_gothic, alt.country, americana, hick_rock, twang_core, citygrass, alternative-country, alt._country, altcountry","Alternative country, or alternative country rock is a loosely defined subgenre of country rock, which includes acts that differ significantly in style from mainstream country music, mainstream country rock, and country pop.",alt_country,YES
,bn:00950977n,"alternative_country, alt-country, insurgent_country, alt_country, country_gothic, alt.country, americana, hick_rock, twang_core, citygrass, alternative-country, alt._country, altcountry","Alternative country, or alternative country rock is a loosely defined subgenre of country rock, which includes acts that differ significantly in style from mainstream country music, mainstream country rock, and country pop.",alt.country,YES
,bn:01831332n,"alternative_dance, indie_dance, alt_dance, alt-dance, underground_dance, indie_dance_music",Alternative dance or indie dance is a musical genre that mixes alternative rock with electronic dance music.,alternative_dance,YES
,bn:01831332n,"alternative_dance, indie_dance, alt_dance, alt-dance, underground_dance, indie_dance_music",Alternative dance or indie dance is a musical genre that mixes alternative rock with electronic dance music.,alt_dance,YES
,bn:01831332n,"alternative_dance, indie_dance, alt_dance, alt-dance, underground_dance, indie_dance_music",Alternative dance or indie dance is a musical genre that mixes alternative rock with electronic dance music.,alt-dance,YES
,bn:01831332n,"alternative_dance, indie_dance, alt_dance, alt-dance, underground_dance, indie_dance_music",Alternative dance or indie dance is a musical genre that mixes alternative rock with electronic dance music.,underground_dance,YES
,bn:01831332n,"alternative_dance, indie_dance, alt_dance, alt-dance, underground_dance, indie_dance_music",Alternative dance or indie dance is a musical genre that mixes alternative rock with electronic dance music.,indie_dance,YES
,bn:01848305n,alternative_electronic,Alternative electronic is a range of lesser-known electronic music genres that are related in some fashion to industrial music.,alternative_elektronische,YES
,bn:01696705n,"alternative_hip_hop, alternative_rap, alternative_hip-hop, experimental_rap, experimental_hip-hop, indie_rap, alt_hip_hop, avanthop, experimental_rap/hip-hop, art_rap, avant-garde_hip_hop, rap_music/alternative, abstract_rap, abstract_hip-hop, alt_rap, backpacker_hip_hop, psychedelic_rap, progressive_hip_hop, bohemian_hip_hop, proghop, psychedelic_hip-hop, abstract_hiphop, prog-hop, alt_hop, avant-garde_rap, avant_hop, prog_hop, alternative_hiphop, leftfield_hip_hop, psychedelic_hip_hop, abstract_hip_hop, progressive_hip-hop, backpacker_hip-hop, left-field_hip_hop, alt-rap",Alternative hip hop is a subgenre of hip hop music that encompasses the wide range of styles that are not typically identified as mainstream.,alternative_hip-hop,YES
,bn:01696705n,"alternative_hip_hop, alternative_rap, alternative_hip-hop, experimental_rap, experimental_hip-hop, indie_rap, alt_hip_hop, avanthop, experimental_rap/hip-hop, art_rap, avant-garde_hip_hop, rap_music/alternative, abstract_rap, abstract_hip-hop, alt_rap, backpacker_hip_hop, psychedelic_rap, progressive_hip_hop, bohemian_hip_hop, proghop, psychedelic_hip-hop, abstract_hiphop, prog-hop, alt_hop, avant-garde_rap, avant_hop, prog_hop, alternative_hiphop, leftfield_hip_hop, psychedelic_hip_hop, abstract_hip_hop, progressive_hip-hop, backpacker_hip-hop, left-field_hip_hop, alt-rap",Alternative hip hop is a subgenre of hip hop music that encompasses the wide range of styles that are not typically identified as mainstream.,underground_hip-hop,YES
,bn:01696705n,"alternative_hip_hop, alternative_rap, alternative_hip-hop, experimental_rap, experimental_hip-hop, indie_rap, alt_hip_hop, avanthop, experimental_rap/hip-hop, art_rap, avant-garde_hip_hop, rap_music/alternative, abstract_rap, abstract_hip-hop, alt_rap, backpacker_hip_hop, psychedelic_rap, progressive_hip_hop, bohemian_hip_hop, proghop, psychedelic_hip-hop, abstract_hiphop, prog-hop, alt_hop, avant-garde_rap, avant_hop, prog_hop, alternative_hiphop, leftfield_hip_hop, psychedelic_hip_hop, abstract_hip_hop, progressive_hip-hop, backpacker_hip-hop, left-field_hip_hop, alt-rap",Alternative hip hop is a subgenre of hip hop music that encompasses the wide range of styles that are not typically identified as mainstream.,underground_rap,YES
,bn:01696705n,"alternative_hip_hop, alternative_rap, alternative_hip-hop, experimental_rap, experimental_hip-hop, indie_rap, alt_hip_hop, avanthop, experimental_rap/hip-hop, art_rap, avant-garde_hip_hop, rap_music/alternative, abstract_rap, abstract_hip-hop, alt_rap, backpacker_hip_hop, psychedelic_rap, progressive_hip_hop, bohemian_hip_hop, proghop, psychedelic_hip-hop, abstract_hiphop, prog-hop, alt_hop, avant-garde_rap, avant_hop, prog_hop, alternative_hiphop, leftfield_hip_hop, psychedelic_hip_hop, abstract_hip_hop, progressive_hip-hop, backpacker_hip-hop, left-field_hip_hop, alt-rap",Alternative hip hop is a subgenre of hip hop music that encompasses the wide range of styles that are not typically identified as mainstream.,untergrund-rap,YES
,bn:01696705n,"alternative_hip_hop, alternative_rap, alternative_hip-hop, experimental_rap, experimental_hip-hop, indie_rap, alt_hip_hop, avanthop, experimental_rap/hip-hop, art_rap, avant-garde_hip_hop, rap_music/alternative, abstract_rap, abstract_hip-hop, alt_rap, backpacker_hip_hop, psychedelic_rap, progressive_hip_hop, bohemian_hip_hop, proghop, psychedelic_hip-hop, abstract_hiphop, prog-hop, alt_hop, avant-garde_rap, avant_hop, prog_hop, alternative_hiphop, leftfield_hip_hop, psychedelic_hip_hop, abstract_hip_hop, progressive_hip-hop, backpacker_hip-hop, left-field_hip_hop, alt-rap",Alternative hip hop is a subgenre of hip hop music that encompasses the wide range of styles that are not typically identified as mainstream.,alternative_rap,YES
,bn:03414174n,ambient_house,"Ambient house is a subgenre of house music that first emerged in the late 1980s, combining elements of acid house and ambient music.",ambient_house,YES
,bn:00965831n,"americana, typicaly_american","Americana artifacts are related to the history, geography, folklore and cultural heritage of the United States of America.",americana,YES
,bn:01938055n,"american_popular_music, popular_music_in_the_usa, popular_music_of_the_united_states",American popular music has had a profound effect on music across the world.,amerikanischen_populären_musik,YES
,bn:03091587n,"anatolian_rock, turkish_rock_music, anadolu_rock, turkish_rock, rock_music_in_turkey, anatolian_rock_music","Anatolian rock, also known as Turkish rock, is a fusion of Turkish folk and rock music.",anadolu_rock,YES
,bn:03091587n,"anatolian_rock, turkish_rock_music, anadolu_rock, turkish_rock, rock_music_in_turkey, anatolian_rock_music","Anatolian rock, also known as Turkish rock, is a fusion of Turkish folk and rock music.",anadolu_pop,YES
,bn:03091587n,"anatolian_rock, turkish_rock_music, anadolu_rock, turkish_rock, rock_music_in_turkey, anatolian_rock_music","Anatolian rock, also known as Turkish rock, is a fusion of Turkish folk and rock music.",türkische_anatolische_rockmusik,YES
,bn:00670739n,"andalusi_nubah, nawbah, arab-andalusian, nouba, andalusian_nubah, nubah, andalusi_nuba, nawba, andalusian_nawba, andalusi_nawba","Andalusī nūbah, also transliterated nūba, nūbā, or nouba, or in its classical Arabic form, nawba, nawbah, or nōbah, is a musical genre found in the North African Maghrib states of Morocco, Algeria, Tunisia, and Libya but, as the name indicates, it has its origins in Arabo-Andalusian music.",andalusische_nubah,YES 
,bn:00670739n,"andalusi_nubah, nawbah, arab-andalusian, nouba, andalusian_nubah, nubah, andalusi_nuba, nawba, andalusian_nawba, andalusi_nawba","Andalusī nūbah, also transliterated nūba, nūbā, or nouba, or in its classical Arabic form, nawba, nawbah, or nōbah, is a musical genre found in the North African Maghrib states of Morocco, Algeria, Tunisia, and Libya but, as the name indicates, it has its origins in Arabo-Andalusian music.",nouba,YES 
,bn:00670739n,"andalusi_nubah, nawbah, arab-andalusian, nouba, andalusian_nubah, nubah, andalusi_nuba, nawba, andalusian_nawba, andalusi_nawba","Andalusī nūbah, also transliterated nūba, nūbā, or nouba, or in its classical Arabic form, nawba, nawbah, or nōbah, is a musical genre found in the North African Maghrib states of Morocco, Algeria, Tunisia, and Libya but, as the name indicates, it has its origins in Arabo-Andalusian music.",nawbah,YES 
,bn:00670739n,"andalusi_nubah, nawbah, arab-andalusian, nouba, andalusian_nubah, nubah, andalusi_nuba, nawba, andalusian_nawba, andalusi_nawba","Andalusī nūbah, also transliterated nūba, nūbā, or nouba, or in its classical Arabic form, nawba, nawbah, or nōbah, is a musical genre found in the North African Maghrib states of Morocco, Algeria, Tunisia, and Libya but, as the name indicates, it has its origins in Arabo-Andalusian music.",arabisch-andalusisch,YES 
,bn:00670739n,"andalusi_nubah, nawbah, arab-andalusian, nouba, andalusian_nubah, nubah, andalusi_nuba, nawba, andalusian_nawba, andalusi_nawba","Andalusī nūbah, also transliterated nūba, nūbā, or nouba, or in its classical Arabic form, nawba, nawbah, or nōbah, is a musical genre found in the North African Maghrib states of Morocco, Algeria, Tunisia, and Libya but, as the name indicates, it has its origins in Arabo-Andalusian music.",andalusi_nubah,YES 
,bn:01295396n,andolan,"In Hindustani music andholan as a specific form of ornament is a gentle oscillation around a note, touching the periphery of an adjacent note as well as shrutis in between.",andolan,YES
,bn:03105489n,"anti-folk, antifolk, unfolk, list_of_musicians_of_anti-folk, un-folk, anti_folk, list_of_anti-folk_bands_and_musicians","Anti-folk is a music genre that arose in the 1980s in reaction to the remnants of the 1960s folk music scene, to mock the perceived seriousness of the time's mainstream music scene, with the intention to shock and protest.",anti-folk,YES 
,bn:03105489n,"anti-folk, antifolk, unfolk, list_of_musicians_of_anti-folk, un-folk, anti_folk, list_of_anti-folk_bands_and_musicians","Anti-folk is a music genre that arose in the 1980s in reaction to the remnants of the 1960s folk music scene, to mock the perceived seriousness of the time's mainstream music scene, with the intention to shock and protest.",antifolk,YES 
,bn:00004715n,"antiphonary, antiphonal, antiphonaries, antiphoner, vesperale_romanum, antiphonel",Bound collection of antiphons,antiphonar,YES 
,bn:00004715n,"antiphonary, antiphonal, antiphonaries, antiphoner, vesperale_romanum, antiphonel",Bound collection of antiphons,antiphonale,YES 
,bn:00004715n,"antiphonary, antiphonal, antiphonaries, antiphoner, vesperale_romanum, antiphonel",Bound collection of antiphons,wechselgesang,YES 
,bn:00004715n,"antiphonary, antiphonal, antiphonaries, antiphoner, vesperale_romanum, antiphonel",Bound collection of antiphons,antifonar,YES 
,bn:00004715n,"antiphonary, antiphonal, antiphonaries, antiphoner, vesperale_romanum, antiphonel",Bound collection of antiphons,antifonale,YES 
,bn:00004715n,"antiphonary, antiphonal, antiphonaries, antiphoner, vesperale_romanum, antiphonel",Bound collection of antiphons,antiphonarium,YES 
,bn:01899068n,"appalachian_music, appalachian_folk_music, history_of_appalachian_music, appalachian_traditional_music",Appalachian music is the music of the region of Appalachia in the Eastern United States.,appalachian_folk,YES 
,bn:01899068n,"appalachian_music, appalachian_folk_music, history_of_appalachian_music, appalachian_traditional_music",Appalachian music is the music of the region of Appalachia in the Eastern United States.,appalachian_musik,YES 
,bn:16016211n,"appenzeller_string_music, string_music_from_appenzell",String music from Appenzell plays an important role in the instrumental practice of the region.,appenzeller_streichmusik,YES 
,bn:01864019n,"arabic_music, arab_music, arabian_music, arab_classical_music, arabic_classical_music, doulab, classical_arab_music, dulab, history_of_arabic_music",Arabic music or Arab music is the music of the Arab world with all its diverse music styles and genres.,arabische_musik,YES 
,bn:01864019n,"arabic_music, arab_music, arabian_music, arab_classical_music, arabic_classical_music, doulab, classical_arab_music, dulab, history_of_arabic_music",Arabic music or Arab music is the music of the Arab world with all its diverse music styles and genres.,arabische_tonleiter,YES 
,bn:01864019n,"arabic_music, arab_music, arabian_music, arab_classical_music, arabic_classical_music, doulab, classical_arab_music, dulab, history_of_arabic_music",Arabic music or Arab music is the music of the Arab world with all its diverse music styles and genres.,arabischen_musik,YES 
,bn:03675644n,"arabic_pop, arabic_pop_music, arab_pop, arab_pop_music",Arabic pop music or Arab pop music is a subgenre of pop music and Arabic music.,arabische_popmusik,YES 
,bn:03675644n,"arabic_pop, arabic_pop_music, arab_pop, arab_pop_music",Arabic pop music or Arab pop music is a subgenre of pop music and Arabic music.,arabischen_popmusik,YES 
,bn:03262134n,"arabic_hip_hop, arabic_rap, arab_rap",Arabic hip hop is hip hop music and culture originating in the Arabic-speaking world.,arabischer_hip-hop,YES 
,bn:03262134n,"arabic_hip_hop, arabic_rap, arab_rap",Arabic hip hop is hip hop music and culture originating in the Arabic-speaking world.,arabischer_rap,YES 
,bn:03262134n,"arabic_hip_hop, arabic_rap, arab_rap",Arabic hip hop is hip hop music and culture originating in the Arabic-speaking world.,arabischer_hip_hop,YES 
,bn:00411693n,"argentine_rock, argentinean_rock, argentine_rock_music, rock_of_argentina, origins_of_argentine_rock, argentinian_rock, rock_nacional",Argentine rock is rock music composed or performed by Argentine bands or artists mostly in Spanish.,argentinische_rock-_und_popmusik,YES 
,bn:00411693n,"argentine_rock, argentinean_rock, argentine_rock_music, rock_of_argentina, origins_of_argentine_rock, argentinian_rock, rock_nacional",Argentine rock is rock music composed or performed by Argentine bands or artists mostly in Spanish.,rock_nacional,YES 
,bn:00411693n,"argentine_rock, argentinean_rock, argentine_rock_music, rock_of_argentina, origins_of_argentine_rock, argentinian_rock, rock_nacional",Argentine rock is rock music composed or performed by Argentine bands or artists mostly in Spanish.,argentinischen_rock,YES 
,bn:03277481n,armenian_chant,Armenian chant is the melismatic monophonic chant used in the liturgy of the Armenian Apostolic Church.,armenische_gesänge,YES 
,bn:03561444n,"ars_antiqua, ars_veterum","Ars antiqua, also called ars veterum or ars vetus, is a term used by modern scholars to refer to the Medieval music of Europe during the High Middle Ages, between approximately 1170 and 1310.",ars_antiqua,YES 
,bn:02464530n,"art_punk, experimental_punk, art-punk, art_punk_rock, avant-garde_punk, avant_punk",Art punk is a subgenre of punk rock in which artists go beyond the genre's rudimentary garage rock and are considered more sophisticated than their peers.,art-punk,YES 
,bn:02464530n,"art_punk, experimental_punk, art-punk, art_punk_rock, avant-garde_punk, avant_punk",Art punk is a subgenre of punk rock in which artists go beyond the genre's rudimentary garage rock and are considered more sophisticated than their peers.,avant-punk,YES 
,bn:02261304n,,Optional.empty,audiation,YES 
,bn:03290314n,"australian_indie_rock, indie_rock_in_australia","Australian indie rock is part of the overall flow of Australian rock history but has a distinct history somewhat separate from mainstream rock in Australia, largely from the end of the punk rock era onwards.",australischen_indie-rockband,YES 
,bn:03525697n,"australian_hip_hop, australian_hip-hop, 2000s_australian_rap, aussie_hip-hop, austrailian_hip-hop, australian_hiphop, 1990s_australian_hip_hop, 1990s_australian_rap, indigenous_australian_rap, ozhiphop, indigenous_australian_hip_hop, skip_hop, 2000s_australian_rap_music, 1980s_australian_rap, 2000s_australian_hip_hop, 1980s_australian_rap_music, australian_rap, 1980s_australian_hip_hop, rap_in_australian_politics, 1990s_australian_rap_music",Australian hip hop traces its origins to the early 1980s and is largely inspired by hip hop and other predominantly African-American musical genres from the United States.,australischer_hip-hop,YES 
