wn_synset,bn:id,pos,lemmata EN,definition,lemmata NL,is it related to music?,note,removed EN,removed NL
,bn:03263545n,,"black_metal, black_'n'_roll, melodic_black_metal, pakistani_metal, black_metal_music, atmospheric_black_metal, black_ambient, kvlt, norscore, experimental_black_metal, folk/black_metal, folk_black_metal, war_metal, norsecore, avant-garde_black_metal, blackened_thrash_metal, neckbeard_deathcamp, satanic_metal, red_and_anarchist_black_metal, black_metal_band, mass_murder_metal, blackened_hardcore, second_wave_black_metal, melodic_black/death, melodic_blackened_death_metal, blackened_thrash, black-doom_metal, blackened_melodic_death_metal, ambient_black_metal, mortuary_drape, psychedelic_black_metal, suicidal_black_metal, blackened_grindcore, depressive_suicidal_black_metal, first_wave_black_metal, depressive_black_metal, blackmetal, dsbm, the_101_rules_of_black_metal, black-thrash, american_black_metal, australian_war_metal, hellish_metal, second-wave_black_metal, black_and_roll",Black metal is an extreme subgenre of heavy metal music.,symphonic_black_metal,YES,,,
,bn:03263545n,,"black_metal, black_'n'_roll, melodic_black_metal, pakistani_metal, black_metal_music, atmospheric_black_metal, black_ambient, kvlt, norscore, experimental_black_metal, folk/black_metal, folk_black_metal, war_metal, norsecore, avant-garde_black_metal, blackened_thrash_metal, neckbeard_deathcamp, satanic_metal, red_and_anarchist_black_metal, black_metal_band, mass_murder_metal, blackened_hardcore, second_wave_black_metal, melodic_black/death, melodic_blackened_death_metal, blackened_thrash, black-doom_metal, blackened_melodic_death_metal, ambient_black_metal, mortuary_drape, psychedelic_black_metal, suicidal_black_metal, blackened_grindcore, depressive_suicidal_black_metal, first_wave_black_metal, depressive_black_metal, blackmetal, dsbm, the_101_rules_of_black_metal, black-thrash, american_black_metal, australian_war_metal, hellish_metal, second-wave_black_metal, black_and_roll",Black metal is an extreme subgenre of heavy metal music.,symfonische_black_metal,YES,,,
,bn:00618193n,,,Censura musicae est cohibitio operum musicorum libenter potiendi.,freemuse,YES,EN mancante,,
,bn:00328024n,,,Italo dance és el nom d'un gènere musical derivat de l'eurodance que s'anomena així per la procedència italiana de molts dels seus productors més famosos.,italodance,YES,manca il termine,,
,bn:03476569n,,"zurna, zurla, zurnā, surnai, surnay, surnāy, zourna","The zurna is a wind instrument played in central Eurasia, Western Asia and parts of North Africa.",zurna,YES,,,
,bn:03476569n,,"zurna, zurla, zurnā, surnai, surnay, surnāy, zourna","The zurna is a wind instrument played in central Eurasia, Western Asia and parts of North Africa.",zurla,YES,,,
,bn:03476569n,,"zurna, zurla, zurnā, surnai, surnay, surnāy, zourna","The zurna is a wind instrument played in central Eurasia, Western Asia and parts of North Africa.",raita,YES,,,
,bn:03224022n,,"zouk, zouk_love, zouk-love, caribbean_zouk, zouk_beton, zouklove","Zouk is, a musical movement pioneered and popularized by the French Antillean band Kassav' in the early 1980s.",zouk,YES,,,
,bn:00776406n,,zouglou,Zouglou is a dance oriented style of music originated from Côte d'Ivoire during the mid-1990s.,zouglou,YES,,,
,bn:01712969n,,zoti,"Zoti are wedding songs sung during the preparation of food during weddings in Goa, India.",zoti,YES,,,
,bn:00162359n,,"zoomusicology, music_in_animals, zoomusicologists, insect_music, zoomusicologist, zoomusicological, animal_music","Zoomusicology is a field of musicology and zoology or more specifically, zoosemiotics.",diermuziek,YES,,,
,bn:00162359n,,"zoomusicology, music_in_animals, zoomusicologists, insect_music, zoomusicologist, zoomusicological, animal_music","Zoomusicology is a field of musicology and zoology or more specifically, zoosemiotics.",dierenmuziek,YES,,,
,bn:00162359n,,"zoomusicology, music_in_animals, zoomusicologists, insect_music, zoomusicologist, zoomusicological, animal_music","Zoomusicology is a field of musicology and zoology or more specifically, zoosemiotics.",zoomusicology,YES,,,
,bn:03434361n,,zongora,"The zongora is an instrument typical of Maramureș, a region of Romania.",,YES,,,
,bn:00019279n,,"zither, cither, zithern, cittern, board_zither, cetra_da_tavola, simple_chordophone, the_zither, zithers, zitherist",A musical stringed instrument with strings stretched over a flat sounding board; it is laid flat and played with a plectrum and with fingers,citer,YES,,,
,bn:00019279n,,"zither, cither, zithern, cittern, board_zither, cetra_da_tavola, simple_chordophone, the_zither, zithers, zitherist",A musical stringed instrument with strings stretched over a flat sounding board; it is laid flat and played with a plectrum and with fingers,zither,YES,,,
,bn:00019279n,,"zither, cither, zithern, cittern, board_zither, cetra_da_tavola, simple_chordophone, the_zither, zithers, zitherist",A musical stringed instrument with strings stretched over a flat sounding board; it is laid flat and played with a plectrum and with fingers,cither,YES,,,
,bn:00019279n,,"zither, cither, zithern, cittern, board_zither, cetra_da_tavola, simple_chordophone, the_zither, zithers, zitherist",A musical stringed instrument with strings stretched over a flat sounding board; it is laid flat and played with a plectrum and with fingers,zithern,YES,,,
,bn:17240955n,,zheng,箏族樂器是東亞地區一類半筒状箱型齊特琴類（box zither）撥弦樂器，上有可移動的弦柱（或稱雁柱），移動雁柱即可調校音高，包括有中國的古箏（中國箏）、日本的和箏、朝鮮的伽倻琴、越南的彈箏、琉球的琉球箏、蒙古的雅托噶。,zheng,YES,la definizione non è tradotta,,
,bn:03435353n,,Zeuhl,Zeuhl ,zeuhl,YES,,,
,bn:02806456n,,"zarzuela, zarzuella, la_zarzuela, zarzuelas, zarzuela_musical_theatre","Zarzuela is a Spanish lyric-dramatic genre that alternates between spoken and sung scenes, the latter incorporating operatic and popular songs, as well as dance.",zarzuela,YES,,,
,bn:15251543n,,zapateado,"The zapateado is a group of dance styles of Mexico, characterized by a lively rhythm punctuated by the striking of the dancer's shoes, akin to tap dance.",,YES,,,
,bn:03077620n,,zampogna,"Zampogna is a generic term for a number of Italian double chantered pipes that can be found as far north as the southern part of the Marche, throughout areas in Abruzzo, Latium, Molise, Basilicata, Campania, Calabria, and Sicily.",zampogna,YES,,,
,bn:00685053n,,zabumba,A zabumba is a type of bass drum used in Brazilian music.,zabumba,YES,,,
,bn:01967649n,,yuka,"Yuka is a secular Afro-Cuban musical tradition which involves drumming, singing and dancing.",yuka,YES,,,
,bn:14668734n,,"yuju_opera, yu_opera, henan_opera, henan_bangzi, yu_ju, honan_local_opera, honan_opera, yuju","Yu opera, or Yuju opera, sometimes known as Henan bangzi, is one of China's famous national opera forms, alongside Peking opera, Yue opera, Huangmei opera and Pingju.",yu-opera,YES,,,
,bn:03542775n,,"youth_crew, youth_crew_revival, youthcrew","Youth crew is a music subculture of hardcore punk attributed to bands who were primarily active during the mid-to-late 1980s, particularly during the New York hardcore scene of the late 1980s.",jeugd_bemanning,YES,,,
,bn:02038670n,,yo-pop,"Yo-pop is a style of Nigerian popular music, popularized in the 1980s by Segun Adewale.",yo-pop,YES,,,
,bn:00081922n,,yodel,A songlike cry in which the voice fluctuates rapidly between the normal voice and falsetto,jodelen,YES,,,
,bn:01090327n,,"ye-ye, yé-yé, iê-iê-iê, yeye, yeye_music, ye-yé, ye_ye, yéyé, yé_yé",Yé-yé was a style of pop music that emerged from Southern Europe in the early 1960s.,iê-iê-iê,YES,,,
,bn:01090327n,,"ye-ye, yé-yé, iê-iê-iê, yeye, yeye_music, ye-yé, ye_ye, yéyé, yé_yé",Yé-yé was a style of pop music that emerged from Southern Europe in the early 1960s.,yé-yé,YES,,,
,bn:01090327n,,"ye-ye, yé-yé, iê-iê-iê, yeye, yeye_music, ye-yé, ye_ye, yéyé, yé_yé",Yé-yé was a style of pop music that emerged from Southern Europe in the early 1960s.,ye-ye,YES,,,
,bn:00081893n,,"yelp, yelping, yelp,_inc., yip, yelp_incorporated, yelp_inc., yelp!, yelp_inc, yelp.com, yelp_review",A sharp high-pitched cry (especially by a dog),yelp,YES,,,
,bn:00081893n,,"yelp, yelping, yelp,_inc., yip, yelp_incorporated, yelp_inc., yelp!, yelp_inc, yelp.com, yelp_review",A sharp high-pitched cry (especially by a dog),kef,YES,,,
,bn:00081893n,,"yelp, yelping, yelp,_inc., yip, yelp_incorporated, yelp_inc., yelp!, yelp_inc, yelp.com, yelp_review",A sharp high-pitched cry (especially by a dog),janken,YES,,,
,bn:00081893n,,"yelp, yelping, yelp,_inc., yip, yelp_incorporated, yelp_inc., yelp!, yelp_inc, yelp.com, yelp_review",A sharp high-pitched cry (especially by a dog),yelping,YES,,,
,bn:00081893n,,"yelp, yelping, yelp,_inc., yip, yelp_incorporated, yelp_inc., yelp!, yelp_inc, yelp.com, yelp_review",A sharp high-pitched cry (especially by a dog),geblaf,YES,,,
,bn:00071306n,,"yelling, shouting",Uttering a loud inarticulate cry as of pain or excitement,schreeuwen,YES,,,
,bn:00014793n,,"yell, vociferation, outcry, shout, call, cry",A loud utterance; often in protest or opposition,geschreeuw,YES,,,
,bn:00014793n,,"yell, vociferation, outcry, shout, call, cry",A loud utterance; often in protest or opposition,geroep,YES,,,
,bn:00014793n,,"yell, vociferation, outcry, shout, call, cry",A loud utterance; often in protest or opposition,schreeuw,YES,,,
,bn:00014793n,,"yell, vociferation, outcry, shout, call, cry",A loud utterance; often in protest or opposition,geblèr,YES,,,
,bn:00014793n,,"yell, vociferation, outcry, shout, call, cry",A loud utterance; often in protest or opposition,kreet,YES,,,
,bn:00014793n,,"yell, vociferation, outcry, shout, call, cry",A loud utterance; often in protest or opposition,uitroep,YES,,,
,bn:00014793n,,"yell, vociferation, outcry, shout, call, cry",A loud utterance; often in protest or opposition,schreeuwen,YES,,,
,bn:00014793n,,"yell, vociferation, outcry, shout, call, cry",A loud utterance; often in protest or opposition,verontwaardiging,YES,,,
,bn:00014793n,,"yell, vociferation, outcry, shout, call, cry",A loud utterance; often in protest or opposition,getier,YES,,,
,bn:02850246n,,"yayue, chinese_court_music, ya-yüeh, ya_yue",Yayue was originally a form of classical music and dance performed at the royal court and temples in ancient China.,yayue,YES,,,
,bn:03602542n,,"yangqin, yang_ch'in, yang_qin, yangqing, 扬琴, yang-chin, yangchen, 揚琴, chinese_dulcimer, yang_quin, electric_yangqin, yang-ch'in","The trapezoidal yangqin is a Chinese hammered dulcimer, likely derived from the Iranian santur or the European dulcimer.",yangqin,YES,,,
,bn:00895123n,,"xylorimba, marimba-xylophone, xylo-marimba",The xylorimba is a pitched percussion instrument corresponding to a xylophone with an extended range.,xylorimba,YES,,,
,bn:01347747n,,xun,"The xun is a globular, vessel flute from China.",xun,YES,,,
,bn:02249473n,,"xote, xotis, xótis",Xote is a Brazilian music genre and dance with a binary or quaternary rhythm.,xote,YES,,,
,bn:00215346n,,xindi,The xindi is a Chinese musical instrument.,xindi,YES,,,
,bn:01942151n,,xenochrony,"Xenochrony is a studio-based musical technique developed at an unknown date, but possibly as early as the early 1960s, by Frank Zappa, who used it on several albums.",xenochrony,YES,,,
,bn:01074056n,,"worldbeat, world_beat",Worldbeat is a music genre that blends pop music or rock music with world music or traditional music.,worldbeat,YES,,,
,bn:01074056n,,"worldbeat, world_beat",Worldbeat is a music genre that blends pop music or rock music with world music or traditional music.,world_beat,YES,,,
,bn:02670948n,,"world_music, world_fusion, worldmusic, world-music, world_fusion_music, ethnic_rock, foreign_music, world_music_terminology, world_music_musicians, world, world_ethnic, world_musician, ethnic, list_of_world_music_festivals, musiques_du_monde, world_music_festival, global_music, world_music_festivals, contemporary_folk_music, ethnic_music","World music is a musical category encompassing many different styles of music from around the world, including traditional music, quasi-traditional music, and music where more than one cultural tradition intermingle.",wereldmuziek,YES,,,
,bn:02670948n,,"world_music, world_fusion, worldmusic, world-music, world_fusion_music, ethnic_rock, foreign_music, world_music_terminology, world_music_musicians, world, world_ethnic, world_musician, ethnic, list_of_world_music_festivals, musiques_du_monde, world_music_festival, global_music, world_music_festivals, contemporary_folk_music, ethnic_music","World music is a musical category encompassing many different styles of music from around the world, including traditional music, quasi-traditional music, and music where more than one cultural tradition intermingle.",wereldmuziekgroep,YES,,,
,bn:02670948n,,"world_music, world_fusion, worldmusic, world-music, world_fusion_music, ethnic_rock, foreign_music, world_music_terminology, world_music_musicians, world, world_ethnic, world_musician, ethnic, list_of_world_music_festivals, musiques_du_monde, world_music_festival, global_music, world_music_festivals, contemporary_folk_music, ethnic_music","World music is a musical category encompassing many different styles of music from around the world, including traditional music, quasi-traditional music, and music where more than one cultural tradition intermingle.",niet-westerse_muziek,YES,,,
,bn:02670948n,,"world_music, world_fusion, worldmusic, world-music, world_fusion_music, ethnic_rock, foreign_music, world_music_terminology, world_music_musicians, world, world_ethnic, world_musician, ethnic, list_of_world_music_festivals, musiques_du_monde, world_music_festival, global_music, world_music_festivals, contemporary_folk_music, ethnic_music","World music is a musical category encompassing many different styles of music from around the world, including traditional music, quasi-traditional music, and music where more than one cultural tradition intermingle.",wereld_fusion_muziek,YES,,,
,bn:02670948n,,"world_music, world_fusion, worldmusic, world-music, world_fusion_music, ethnic_rock, foreign_music, world_music_terminology, world_music_musicians, world, world_ethnic, world_musician, ethnic, list_of_world_music_festivals, musiques_du_monde, world_music_festival, global_music, world_music_festivals, contemporary_folk_music, ethnic_music","World music is a musical category encompassing many different styles of music from around the world, including traditional music, quasi-traditional music, and music where more than one cultural tradition intermingle.",world_fusion,YES,,,
,bn:08919498n,,"world_fusion_music, world_fusion",World music genre,,YES,,,
,bn:00081530n,,"woofer, woofers",A loudspeaker that reproduces lower audio frequency sounds,woofer,YES,,,
,bn:00081527n,,woodwind_family,(music) the family of woodwind instruments,houtblazers_familie,YES,,,
,bn:00081493n,,"woodwind, woodwind_instrument, wood, longest_note_on_a_woodwind/brass_instrument, woodwinds, woodwind_instruments, instrumentos_de_madera, toodlehorn",Any wind instrument other than the brass instruments,houtblazer,YES,,,
,bn:00081493n,,"woodwind, woodwind_instrument, wood, longest_note_on_a_woodwind/brass_instrument, woodwinds, woodwind_instruments, instrumentos_de_madera, toodlehorn",Any wind instrument other than the brass instruments,houtblazers,YES,,,
,bn:00081493n,,"woodwind, woodwind_instrument, wood, longest_note_on_a_woodwind/brass_instrument, woodwinds, woodwind_instruments, instrumentos_de_madera, toodlehorn",Any wind instrument other than the brass instruments,houten_blaasinstrument,YES,,,
,bn:00081493n,,"woodwind, woodwind_instrument, wood, longest_note_on_a_woodwind/brass_instrument, woodwinds, woodwind_instruments, instrumentos_de_madera, toodlehorn",Any wind instrument other than the brass instruments,houtblazers_instrument,YES,,,
,bn:00081493n,,"woodwind, woodwind_instrument, wood, longest_note_on_a_woodwind/brass_instrument, woodwinds, woodwind_instruments, instrumentos_de_madera, toodlehorn",Any wind instrument other than the brass instruments,houten_blaasinstrumenten,YES,,,
,bn:00081493n,,"woodwind, woodwind_instrument, wood, longest_note_on_a_woodwind/brass_instrument, woodwinds, woodwind_instruments, instrumentos_de_madera, toodlehorn",Any wind instrument other than the brass instruments,hout,YES,,,
,bn:00081493n,,"woodwind, woodwind_instrument, wood, longest_note_on_a_woodwind/brass_instrument, woodwinds, woodwind_instruments, instrumentos_de_madera, toodlehorn",Any wind instrument other than the brass instruments,het_hout,YES,,,
,bn:01285441n,,"wonky, purple_sound, street_bass, wonky_music, aquacrunk, bristol_wonky","Wonky is a subgenre of electronic music known primarily for its off-kilter or “unstable” beats, as well as its eclectic blend of genres including hip hop, electro-funk, chiptune, jazz fusion, glitch, and crunk.",wonky,YES,,,
,bn:02097833n,,"witch_house, grave_wave, witch_hop, witch_hip_hop, screwgaze, rape_gaze, drag, crunk_shoegaze","Witch house is a dark, occult-themed electronic music microgenre and visual aesthetic that emerged in the late 2000s and early 2010s.",witch_house,YES,,,
,bn:02097833n,,"witch_house, grave_wave, witch_hop, witch_hip_hop, screwgaze, rape_gaze, drag, crunk_shoegaze","Witch house is a dark, occult-themed electronic music microgenre and visual aesthetic that emerged in the late 2000s and early 2010s.",with_house,YES,,,
,bn:02097833n,,"witch_house, grave_wave, witch_hop, witch_hip_hop, screwgaze, rape_gaze, drag, crunk_shoegaze","Witch house is a dark, occult-themed electronic music microgenre and visual aesthetic that emerged in the late 2000s and early 2010s.",heks_huis,YES,,,
,bn:03651367n,,"wind_quintet, woodwind_quintet","A wind quintet, also known as a woodwind quintet, is a group of five wind players.",blaaskwintet,YES,,,
,bn:00081263n,,"wind_instrument, bell, wind, wind_instruments, blas-, aerophonic, bell_of_a_wind_instrument",A musical instrument in which the sound is produced by an enclosed column of air that is moved by the breath,blaasinstrument,YES,,,
,bn:00081263n,,"wind_instrument, bell, wind, wind_instruments, blas-, aerophonic, bell_of_a_wind_instrument",A musical instrument in which the sound is produced by an enclosed column of air that is moved by the breath,blaasinstrumenten,YES,,,
,bn:00081263n,,"wind_instrument, bell, wind, wind_instruments, blas-, aerophonic, bell_of_a_wind_instrument",A musical instrument in which the sound is produced by an enclosed column of air that is moved by the breath,koelte,YES,,,
,bn:00081263n,,"wind_instrument, bell, wind, wind_instruments, blas-, aerophonic, bell_of_a_wind_instrument",A musical instrument in which the sound is produced by an enclosed column of air that is moved by the breath,wind,YES,,,
,bn:00081263n,,"wind_instrument, bell, wind, wind_instruments, blas-, aerophonic, bell_of_a_wind_instrument",A musical instrument in which the sound is produced by an enclosed column of air that is moved by the breath,bel,YES,,,
,bn:03147748n,,"wind_controller, electronic_wind_instrument, wind_synthesizer, electronic_trumpet, evi_wind_controller, ewi, breath_controller, electronic_wind_instruments, evi, electronic_valve_instrument, wind_synth","A wind controller, sometimes referred to as a wind synthesizer, is an electronic wind instrument and usually in the form of a MIDI controller associated with one or more music synthesizers.",wind_controller,YES,,,
,bn:00081264n,,"wind_chime, wind_bell, windchime, wind_chimes, wind-bell, wind-chimes, windchimes, 🎐",A decorative arrangement of pieces of metal or glass or pottery that hang together loosely so the wind can cause them to tinkle,wind_gong,YES,,🎐,
,bn:00081264n,,"wind_chime, wind_bell, windchime, wind_chimes, wind-bell, wind-chimes, windchimes, 🎐",A decorative arrangement of pieces of metal or glass or pottery that hang together loosely so the wind can cause them to tinkle,wind_chimes,YES,,🎐,
,bn:00081264n,,"wind_chime, wind_bell, windchime, wind_chimes, wind-bell, wind-chimes, windchimes, 🎐",A decorative arrangement of pieces of metal or glass or pottery that hang together loosely so the wind can cause them to tinkle,wind_bell,YES,,🎐,
,bn:00081145n,,whoop,A loud hooting cry of exultation or excitement,schreeuwen,YES,,,
,bn:00256107n,,"whole-tone_scale, whole_tone_scale, 6-35, 6_equal_temperament, 6-tet, ""almost_whole-tone""_hexachord, wholetone_scale","In music, a whole-tone scale is a scale in which each note is separated from its neighbors by the interval of a whole tone.",heletoonstoonladder,YES,,,
,bn:00256107n,,"whole-tone_scale, whole_tone_scale, 6-35, 6_equal_temperament, 6-tet, ""almost_whole-tone""_hexachord, wholetone_scale","In music, a whole-tone scale is a scale in which each note is separated from its neighbors by the interval of a whole tone.",hele-toonstoonladder,YES,,,
,bn:00256107n,,"whole-tone_scale, whole_tone_scale, 6-35, 6_equal_temperament, 6-tet, ""almost_whole-tone""_hexachord, wholetone_scale","In music, a whole-tone scale is a scale in which each note is separated from its neighbors by the interval of a whole tone.",debussy-toonladder,YES,,,
,bn:00074194n,,"whole_tone, whole_step, major_second, tone, step, whole_tones, ganzton, lesser_tone, pythagorean_major_second, large_whole_tone, major_tone, just_major_tone, greater_tone, large_just_whole_tone, just_major_second, sesquioctavan, επογδοων, large_limma, whole-tone, epogdoon, minor_tone, just_minor_tone",A musical interval of two semitones,hele_toon,YES,,,
,bn:00074194n,,"whole_tone, whole_step, major_second, tone, step, whole_tones, ganzton, lesser_tone, pythagorean_major_second, large_whole_tone, major_tone, just_major_tone, greater_tone, large_just_whole_tone, just_major_second, sesquioctavan, επογδοων, large_limma, whole-tone, epogdoon, minor_tone, just_minor_tone",A musical interval of two semitones,grote_secunde,YES,,,
,bn:00074194n,,"whole_tone, whole_step, major_second, tone, step, whole_tones, ganzton, lesser_tone, pythagorean_major_second, large_whole_tone, major_tone, just_major_tone, greater_tone, large_just_whole_tone, just_major_second, sesquioctavan, επογδοων, large_limma, whole-tone, epogdoon, minor_tone, just_minor_tone",A musical interval of two semitones,hele_stap,YES,,,
,bn:00074194n,,"whole_tone, whole_step, major_second, tone, step, whole_tones, ganzton, lesser_tone, pythagorean_major_second, large_whole_tone, major_tone, just_major_tone, greater_tone, large_just_whole_tone, just_major_second, sesquioctavan, επογδοων, large_limma, whole-tone, epogdoon, minor_tone, just_minor_tone",A musical interval of two semitones,stap,YES,,,
,bn:00074194n,,"whole_tone, whole_step, major_second, tone, step, whole_tones, ganzton, lesser_tone, pythagorean_major_second, large_whole_tone, major_tone, just_major_tone, greater_tone, large_just_whole_tone, just_major_second, sesquioctavan, επογδοων, large_limma, whole-tone, epogdoon, minor_tone, just_minor_tone",A musical interval of two semitones,toon,YES,,,
,bn:00070417n,,"whole_note, semibreve, semibreves, whole_note_rest, wholenote, full_note, ganzschluss, 𝅝, whole-note, semi-breve, ganze-note, 𝄻, whole_notes",A musical note having the longest time value (equal to four beats in common time),hele_noot,YES,,,
,bn:00070417n,,"whole_note, semibreve, semibreves, whole_note_rest, wholenote, full_note, ganzschluss, 𝅝, whole-note, semi-breve, ganze-note, 𝄻, whole_notes",A musical note having the longest time value (equal to four beats in common time),whole_note,YES,,,
,bn:00081132n,,whiz,A buzzing or hissing sound as of something traveling rapidly through the air,gefluit,YES,,,
,bn:00583436n,,"white_label, white_labels, test_pressing, whitelabel, whitelabels, white-label, white-labels",White label records are vinyl records with plain white labels attached.,white_label,YES,,,
,bn:00583436n,,"white_label, white_labels, test_pressing, whitelabel, whitelabels, white-label, white-labels",White label records are vinyl records with plain white labels attached.,white_labels,YES,,,
,bn:00583436n,,"white_label, white_labels, test_pressing, whitelabel, whitelabels, white-label, white-labels",White label records are vinyl records with plain white labels attached.,witte_etiketten,YES,,,
,bn:00081041n,,"whistling, whistle",The sound made by something moving rapidly or by steam coming out of a small aperture,gefluit,YES,,,
,bn:00081049n,,whistling,The act of whistling a tune,gefluit,YES,,,
,bn:01913047n,,"whistle_register, whistle_tone, whistle_voice, flute_register, whistle_note, flageolet_register, super-head_voice, whistle_tones, super-head_register","The whistle register is the highest register of the human voice, lying above the modal register and falsetto register.",fluitregister,YES,,,
,bn:01913047n,,"whistle_register, whistle_tone, whistle_voice, flute_register, whistle_note, flageolet_register, super-head_voice, whistle_tones, super-head_register","The whistle register is the highest register of the human voice, lying above the modal register and falsetto register.",fluitstem,YES,,,
,bn:00081043n,,whistle,A small wind instrument that produces a whistling sound by blowing into it,tinwhistle,YES,,,
,bn:00010662n,,"whirr, whirring, birr, whir",Sound of something in rapid motion,zoemend,YES,,,
,bn:00010662n,,"whirr, whirring, birr, whir",Sound of something in rapid motion,snorren,YES,,,
