wn_synset,bn:id,pos,lemmata EN,definition,lemmata DE,is it related to music
,bn:00000968n,n,"auditory_hallucination, acousma, paracusia, auditory_hallucinations, audio_hallucination, auditory_verbal_hallucinations, voice_hearing",Illusory auditory perception of strange nonverbal sounds,"akustische_halluzination, acousma, akustische_halluzinationen",CHECK
,bn:00000976n,n,"acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_acoustic_impedance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, acoustical_impedance, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, sound_impedance, volume_velocity, specific_acoustic_impedance",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,"akustische_impedanz, schallkennimpedanz, schallimpedanz, schallwiderstand, akustische_flussimpedanz, kennimpedanz_eines_mediums, kennimpedanz, spezifische_akustische_impedanz, mechanische_impedanz, schallwellenwiderstand, spezifische_schallimpedanz, ohmsches_gesetz_der_akustik, schallwiderstands, akustische_reaktanz",CHECK
,bn:03390978n,n,"alap, alapa, aalap",The alap is the opening section of a typical North Indian classical performance.,alap,CHECK
,bn:00002829n,n,allegro_con_spirito,Lively with spirit,allegro_con_spirito,CHECK
,bn:02579215n,n,"old_time_fiddle, oldtime_fiddle, old-time_fiddle, old_time_fiddling",Old time fiddle is a genre of American folk music.,alten_zeit_geige,CHECK
,bn:00950977n,n,"alternative_country, alt-country, insurgent_country, alt_country, country_gothic, alt.country, americana, hick_rock, twang_core, citygrass, alternative-country, alt._country, altcountry","Alternative country, or alternative country rock is a loosely defined subgenre of country rock, which includes acts that differ significantly in style from mainstream country music, mainstream country rock, and country pop.","alternative_country, alternative-country, americana, alt._country, amerikana, alt_country, alt.country",CHECK
,bn:01831332n,n,"alternative_dance, indie_dance, alt_dance, alt-dance, underground_dance, indie_dance_music",Alternative dance or indie dance is a musical genre that mixes alternative rock with electronic dance music.,"alternative_dance, alt_dance, alt-dance, underground_dance, indie_dance",CHECK
,bn:01848305n,n,alternative_electronic,Alternative electronic is a range of lesser-known electronic music genres that are related in some fashion to industrial music.,alternative_elektronische,CHECK
,bn:01696705n,n,"alternative_hip_hop, alternative_rap, alternative_hip-hop, experimental_rap, experimental_hip-hop, indie_rap, alt_hip_hop, avanthop, experimental_rap/hip-hop, art_rap, avant-garde_hip_hop, rap_music/alternative, abstract_rap, abstract_hip-hop, alt_rap, backpacker_hip_hop, psychedelic_rap, progressive_hip_hop, bohemian_hip_hop, proghop, psychedelic_hip-hop, abstract_hiphop, prog-hop, alt_hop, avant-garde_rap, avant_hop, prog_hop, alternative_hiphop, leftfield_hip_hop, psychedelic_hip_hop, abstract_hip_hop, progressive_hip-hop, backpacker_hip-hop, left-field_hip_hop, alt-rap",Alternative hip hop is a subgenre of hip hop music that encompasses the wide range of styles that are not typically identified as mainstream.,"alternative_hip-hop, underground_hip-hop, underground_rap, untergrund-rap, alternative_rap",CHECK
,bn:15686760n,n,,1953 song composed by Jupp Schmitz performed by Jupp Schmitz,am_aschermittwoch_ist_alles_vorbei,CHECK
,bn:03414174n,n,ambient_house,"Ambient house is a subgenre of house music that first emerged in the late 1980s, combining elements of acid house and ambient music.",ambient_house,CHECK
,bn:00965831n,n,"americana, typicaly_american","Americana artifacts are related to the history, geography, folklore and cultural heritage of the United States of America.",americana,CHECK
,bn:01938055n,n,"american_popular_music, popular_music_in_the_usa, popular_music_of_the_united_states",American popular music has had a profound effect on music across the world.,amerikanischen_populären_musik,CHECK
,bn:03091587n,n,"anatolian_rock, turkish_rock_music, anadolu_rock, turkish_rock, rock_music_in_turkey, anatolian_rock_music","Anatolian rock, also known as Turkish rock, is a fusion of Turkish folk and rock music.","anadolu_rock, anadolu_pop, türkische_anatolische_rockmusik",CHECK
,bn:00670739n,n,"andalusi_nubah, nawbah, arab-andalusian, nouba, andalusian_nubah, nubah, andalusi_nuba, nawba, andalusian_nawba, andalusi_nawba","Andalusī nūbah, also transliterated nūba, nūbā, or nouba, or in its classical Arabic form, nawba, nawbah, or nōbah, is a musical genre found in the North African Maghrib states of Morocco, Algeria, Tunisia, and Libya but, as the name indicates, it has its origins in Arabo-Andalusian music.","andalusische_nubah, nouba, nawbah, arabisch-andalusisch, andalusi_nubah",CHECK
,bn:01295396n,n,andolan,"In Hindustani music andholan as a specific form of ornament is a gentle oscillation around a note, touching the periphery of an adjacent note as well as shrutis in between.",andolan,CHECK
,bn:03105489n,n,"anti-folk, antifolk, unfolk, list_of_musicians_of_anti-folk, un-folk, anti_folk, list_of_anti-folk_bands_and_musicians","Anti-folk is a music genre that arose in the 1980s in reaction to the remnants of the 1960s folk music scene, to mock the perceived seriousness of the time's mainstream music scene, with the intention to shock and protest.","anti-folk, antifolk",CHECK
,bn:00004715n,n,"antiphonary, antiphonal, antiphonaries, antiphoner, vesperale_romanum, antiphonel",Bound collection of antiphons,"antiphonar, antiphonale, wechselgesang, antifonar, antifonale, antiphonarium",CHECK
,bn:01899068n,n,"appalachian_music, appalachian_folk_music, history_of_appalachian_music, appalachian_traditional_music",Appalachian music is the music of the region of Appalachia in the Eastern United States.,"appalachian_folk, appalachian_musik",CHECK
,bn:16016211n,n,"appenzeller_string_music, string_music_from_appenzell",String music from Appenzell plays an important role in the instrumental practice of the region.,appenzeller_streichmusik,CHECK
,bn:01864019n,n,"arabic_music, arab_music, arabian_music, arab_classical_music, arabic_classical_music, doulab, classical_arab_music, dulab, history_of_arabic_music",Arabic music or Arab music is the music of the Arab world with all its diverse music styles and genres.,"arabische_musik, arabische_tonleiter, arabischen_musik",CHECK
,bn:03675644n,n,"arabic_pop, arabic_pop_music, arab_pop, arab_pop_music",Arabic pop music or Arab pop music is a subgenre of pop music and Arabic music.,"arabische_popmusik, arabischen_popmusik",CHECK
,bn:03262134n,n,"arabic_hip_hop, arabic_rap, arab_rap",Arabic hip hop is hip hop music and culture originating in the Arabic-speaking world.,"arabischer_hip-hop, arabischer_rap, arabischer_hip_hop",CHECK
,bn:00411693n,n,"argentine_rock, argentinean_rock, argentine_rock_music, rock_of_argentina, origins_of_argentine_rock, argentinian_rock, rock_nacional",Argentine rock is rock music composed or performed by Argentine bands or artists mostly in Spanish.,"argentinische_rock-_und_popmusik, rock_nacional, argentinischen_rock",CHECK
,bn:03277481n,n,armenian_chant,Armenian chant is the melismatic monophonic chant used in the liturgy of the Armenian Apostolic Church.,armenische_gesänge,CHECK
,bn:03561444n,n,"ars_antiqua, ars_veterum","Ars antiqua, also called ars veterum or ars vetus, is a term used by modern scholars to refer to the Medieval music of Europe during the High Middle Ages, between approximately 1170 and 1310.",ars_antiqua,CHECK
,bn:02464530n,n,"art_punk, experimental_punk, art-punk, art_punk_rock, avant-garde_punk, avant_punk",Art punk is a subgenre of punk rock in which artists go beyond the genre's rudimentary garage rock and are considered more sophisticated than their peers.,"art-punk, avant-punk",CHECK
,bn:16192158n,n,,"Aschenflug ist die zweite Singleauskopplung des deutschen Popsängers Adel Tawil, in Zusammenarbeit mit den deutschen Rappern Prinz Pi und Sido, aus seinem Debütalbum Lieder.",aschenflug,CHECK
,bn:02261304n,n,,Optional.empty,audiation,CHECK
,bn:17257691n,n,,"Auf ""STILL""er Fahrt – Die Konzertreise ist das fünfte Live- und Videoalbum der Südtiroler Deutschrock-Band Frei.",auf_stiller_fahrt,CHECK
,bn:08642685n,n,,երաժշտական ալբոմ,aufstehn,CHECK
,bn:03290314n,n,"australian_indie_rock, indie_rock_in_australia","Australian indie rock is part of the overall flow of Australian rock history but has a distinct history somewhat separate from mainstream rock in Australia, largely from the end of the punk rock era onwards.",australischen_indie-rockband,CHECK
,bn:03525697n,n,"australian_hip_hop, australian_hip-hop, 2000s_australian_rap, aussie_hip-hop, austrailian_hip-hop, australian_hiphop, 1990s_australian_hip_hop, 1990s_australian_rap, indigenous_australian_rap, ozhiphop, indigenous_australian_hip_hop, skip_hop, 2000s_australian_rap_music, 1980s_australian_rap, 2000s_australian_hip_hop, 1980s_australian_rap_music, australian_rap, 1980s_australian_hip_hop, rap_in_australian_politics, 1990s_australian_rap_music",Australian hip hop traces its origins to the early 1980s and is largely inspired by hip hop and other predominantly African-American musical genres from the United States.,"australischer_hip-hop, hip-hop_in_australien",CHECK
,bn:01909132n,n,"avant-garde_jazz, avant-jazz, experimental_jazz, avant_garde_jazz",Avant-garde jazz is a style of music and improvisation that combines avant-garde art music and composition with jazz.,"avantgarde-jazz, avantgarde_jazz, experimenteller_jazz",CHECK
,bn:02435368n,n,"experimental_rock, avant-garde_rock, avant-rock, experimental-rock, avant_rock","Experimental rock, also called avant-rock, is a subgenre of rock music that pushes the boundaries of common composition and performance technique or which experiments with the basic elements of the genre.","avantgarde-rock-gruppe, avantgarde-rock",CHECK
,bn:03506670n,n,"ave_verum_corpus, ave_verum","""Ave verum corpus"" is a short Eucharistic chant that has also been set to music by various composers.","ave_verum_corpus, ave_verum",CHECK
,bn:03199668n,n,bachata,"Bachata is a genre of Latin American music that originated in the Dominican Republic in the first half of the 20th century with primarily Spanish influences and also remnants of indigenous and African musical elements, representative of the cultural diversity of the Dominican Republic population.",bachata,CHECK
,bn:01082469n,n,"baggy, baggy_/_madchester","Baggy was a name given to a British indie-dance genre popular in the late 1980s and early 1990s, with many of the artists referred to as ""baggy"" being bands from the Madchester scene.",baggy,CHECK
,bn:00611683n,n,"baião, baiao, baião_music","Baião is a Northeastern Brazilian music genre and dance style based on a syncopated duple meter rhythm, based around the pulse of the zabumba, a flat, double-headed bass drum played with a mallet in one hand and a stick in the other, each striking the opposite head of the drum for alternating high and low notes, frequently accompanied by an accordion and a triangle pattern.","baião, baiao",CHECK
,bn:00785696n,n,baisha_xiyue,"Baisha xiyue is one of the two surviving forms of traditional music of the Naxi people of Lijiang, Yunnan Province, China, known as ""Naxi ancient music"".",baisha_xiyue,CHECK
,bn:03720025n,n,bakersfield_sound,"The Bakersfield sound is a sub-genre of country music developed in the mid-to-late 1950s in and around Bakersfield, California.",bakersfield_sound,CHECK
,bn:01527707n,n,"ballad_opera, ballad-opera, ballad_operas","The ballad opera is a genre of English stage entertainment that originated in the early 18th century, and continued to develop over the following century and later.","ballad_opera, ballade_oper",CHECK
,bn:08703385n,n,,երաժշտական ալբոմ,ballades_van_de_gewapende_bedelaar,CHECK
,bn:00943438n,n,baltimore_jazz,Optional.empty,baltimore_jazzszene,CHECK
,bn:14310277n,n,,Muziekalbum,banger_rebellieren,CHECK
,bn:01640606n,n,"baroque_music, baroque, baroquesque_music, jesusurus, music_baroque, baroque_suite",Baroque music is a period or style of Western art music composed from approximately 1600 to 1750.,"barock, barockmusik, spätbarock, frühbarock, generalbasszeitalter, musik_des_barock, barockkomponist",CHECK
,bn:02004280n,n,"baroque_pop, baroque_rock, chamber_pop, bach_rock, baroque_n_roll, bach-rock",Baroque pop is a fusion genre that combines rock music with particular elements of classical music.,"baroque_pop, barock_pop, barocken_rock",CHECK
,bn:03083586n,n,"uk_bass, bass_music, post-dubstep","UK bass, also called bass music, is club music that emerged in the United Kingdom during the mid-2000s under the influence of diverse genres such as house, grime, dubstep, UK garage, R&B, and UK funky.","bass-musik, bass_musik",CHECK
,bn:01240031n,n,batucada,"Batucada is a substyle of samba and refers to an African-influenced Brazilian percussive style, usually performed by an ensemble, known as a bateria.",batucada,CHECK
,bn:01063911n,n,"bay_area_thrash_metal, bay_area_thrash, bay_area_thrash_scene",Bay Area thrash metal referred to a steady following of heavy metal bands in the 1980s who formed and gained international status in the San Francisco Bay Area in California.,"bay_area_thrash_metal, bay_area_thrash",CHECK
,bn:03183804n,n,"beat_music, british_beat, merseybeat, beat_combo, the_mersey_sound, mersey_sound, beat-group, beat_boom, beat_group, tottenham_sound, beat_band",A pop and rock music genre that developed in the United Kingdom in the early 1960s.,"beatmusik, beat, beat-musik, beat-gruppe",CHECK
,bn:03341056n,n,"bélé, bele, bélé_soté, bele_sote, bélé_rickety, bele_contredanse, tambou_bèlè, tambou_bélé, bele_priorite, bèlè, danm, bélé_contredanse, bele_djouba, tambour_bélé, bélé_djouba, bélé_pitjé, kavalyé, bele_rickety, bele_pitje, kavalye, tambour_bele, bélé_priòrité","A bélé is a folk dance and music from Martinique, St. Lucia, Dominica, Haiti, and Guadeloupe.","bélé, bele",CHECK
,bn:00463882n,n,benga_music,Benga is a genre of Kenyan popular music.,benga_musik,CHECK
,bn:02486527n,n,bergerette,"A bergerette, or shepherdess' air, is a form of early rustic French song.",bergerette,CHECK
,bn:15691033n,n,,#Beste ist ein Best-of-Album des deutschen Rappers Sido.,beste,CHECK
,bn:01229880n,n,"big_beat, chemical_breaks, breaks/chemical, big-beat, bigbeat",Big beat is an electronic music genre that usually uses heavy breakbeats and synthesizer-generated loops and patterns – common to acid house/techno.,"big_beat, big_beatz, big_beats",CHECK
,bn:00784281n,n,biguine,"Biguine is a rhythm-centric style of music that originated from Saint-Pierre, Martinique in the 19th century.","biguine, beguine, béguine",CHECK
,bn:00378072n,n,bikutsi,Bikutsi is a musical genre from Cameroon.,bikutsi,CHECK
,bn:16361424n,n,,Muziekalbum,bis_ans_ende_der_welt,CHECK
,bn:02075431n,n,bitpop,"Bitpop is a type of electronic music and subgenre of chiptune music, where at least part of the music is made using the sound chips of old 8-bit computers and video game consoles.","bitpop, picopop",CHECK
,bn:03263545n,n,"black_metal, black_'n'_roll, melodic_black_metal, pakistani_metal, black_metal_music, atmospheric_black_metal, black_ambient, kvlt, norscore, experimental_black_metal, folk/black_metal, folk_black_metal, war_metal, norsecore, avant-garde_black_metal, blackened_thrash_metal, neckbeard_deathcamp, satanic_metal, red_and_anarchist_black_metal, black_metal_band, mass_murder_metal, blackened_hardcore, second_wave_black_metal, melodic_black/death, melodic_blackened_death_metal, blackened_thrash, black-doom_metal, blackened_melodic_death_metal, ambient_black_metal, mortuary_drape, psychedelic_black_metal, suicidal_black_metal, blackened_grindcore, depressive_suicidal_black_metal, first_wave_black_metal, depressive_black_metal, blackmetal, dsbm, the_101_rules_of_black_metal, black-thrash, american_black_metal, australian_war_metal, hellish_metal, second-wave_black_metal, black_and_roll",Black metal is an extreme subgenre of heavy metal music.,"black_metal, blackmetal, black_circle, symphonic_black_metal, melodic_black_metal",CHECK
,bn:03038770n,n,"blackbird, black_stone_violin","The Blackbird, also called the Black Stone Violin, is a full-size playable violin made of black diabase after drawings by Antonio Stradivari, but with technical modifications to allow it to be played.",blackbird,CHECK
,bn:17161236n,n,,երաժշտական ալբոմ,blausicht,CHECK
,bn:17340535n,n,,Bleib wach ist eine Single von Fler und Silla aus dem Album Südberlin Maskulin II.,bleib_wach,CHECK
,bn:15127866n,n,,երաժշտական ալբոմ,bleibt_das_immer_so,CHECK
,bn:17237974n,n,,Muziekalbum,blockplatin,CHECK
,bn:03407093n,n,"boogaloo, shing-a-ling, bugalú, latin_boogaloo, boogalu, bugaloo, bugalu",Boogaloo or bugalú is a genre of Latin music and dance which was popular in the United States in the 1960s.,"boogaloo, boogalu",CHECK
,bn:01896121n,n,"boogie, boogie_music, electrofunk","Boogie is a rhythm and blues genre of electronic dance music with close ties to the post-disco style, that first emerged in the United States during the late 1970s to mid-1980s.",boogie,CHECK
,bn:01070119n,n,boogie_rock,Boogie rock is a style of blues rock music that developed in the late 1960s.,boogie_rock,CHECK
,bn:02757607n,n,"boom_bap, boombap",Boom bap is a music production style that was prominent in the East Coast during the mid-1980s to the early 1990s.,boom_bap,CHECK
,bn:00701768n,n,"bootleg_recording, bootleg, roio, bootleg_album, bootlegs, bootleg_cassette, bootleg_records, audio_bootleg, bootleg_recordings, music_bootleg, bootleg_movie, bootleg_record",A bootleg recording is an audio or video recording of a performance not officially released by the artist or under other legal authority.,"bootlegs, bootleg, bootlegger, raubpressung, bootlegging, konzertmitschnitt, schwarzpressung, bootleg-aufnahmen, bootleg-aufnahme",CHECK
,bn:01783536n,n,"bossa_nova, hang_wire, bossa_groove, bosa_nova, bossanova, brazilian_bossa_nova, down_to_the_well, rock_music, bossa","Bossa nova is a style of samba developed in the late 1950s and early 1960s in Rio de Janeiro, Brazil.","bossa_nova, bossa-nova, bossa",CHECK
,bn:00925485n,n,"bounce_music, new_orleans_bounce, new_orleans’_bounce, sissy_bounce, nola_bounce",Bounce music is a style of New Orleans hip hop music that is said to have originated as early as the late 1980s in the city's housing projects.,bounce_musik,CHECK
,bn:00384587n,n,"brazilian_rock, 1959_in_brazilian_rock_and_roll, the_pioneers_of_brazilian_rock_and_roll_1959, 1959_pioneers_of_the_brazilian_rock_and_roll, iê-iê-iê, rock_nacional",Brazilian rock refers to rock music produced in Brazil and usually sung in Portuguese.,brasilianischen_rockband,CHECK
,bn:03710265n,n,brazilian_thrash_metal,"Along with Bay Area thrash metal and Teutonic thrash metal, Brazilian thrash metal was one of the major scenes in the 1980s.",brasilianischen_thrash-metal-szene,CHECK
,bn:03177411n,n,"breakbeat_hardcore, oldskool_rave_hardcore, oldskool_rave, oldskool_hardcore, hardcore_rave, breaks_hardcore, breakbeat_techno",Breakbeat hardcore is a music genre of the very early 1990s that spawned from the UK rave scene.,"breakbeat_hardcore, hardcore, british_hardcore, hardcore_rave, uk_hardcore",CHECK
,bn:02772152n,n,"breakcore, enduser, one_foot_in_the_rave, sickboy_milkplus, crossbreed, shitmat, industrial_drum'n'bass, wrong_music, lynn_standafer, raggacore, list_of_breakcore_artists, list_of_breakcore_record_labels","Breakcore is a style of electronic dance music that emerged out of jungle, hardcore, and drum and bass in the mid-to-late 1990s.","breakcore, raggacore",CHECK
,bn:01464174n,n,"brega, brega_music",Brega is a genre of Brazilian popular music.,brega,CHECK
,bn:17215190n,n,,Lied van Hubert von Goisern,"brenna_tuat’s_guat, brenna_tuats_guat, brenna_tuat's_guat",CHECK
,bn:01647970n,n,british_rock_and_roll,"British rock and roll, or sometimes British rock 'n' roll, is a style of popular music based on American rock and roll, which emerged in the late 1950s and was popular until the arrival of beat music in 1962.",britische_rock_and_roll,CHECK
,bn:03827959n,n,"british_dance_band, british_dance_bands","British dance band is a genre of popular jazz and dance music that developed in British dance halls and hotel ballrooms during the 1920s and 1930s, often called a Golden Age of British music prior to the Second World War.",britischen_dance-band-ära,CHECK
,bn:01634860n,n,"british_folk_revival, english_folk_revival, the_british_folk_revival, english_folk-song_revival","The British folk revival incorporates a number of movements for the collection, preservation and performance of folk music in the United Kingdom and related territories and countries, which had origins as early as the 18th century.",britischen_folk-revival,CHECK
,bn:01797462n,n,"british_rhythm_and_blues, british_r_n_b, british_rnb, british_rhythm_and_blues_boom, british_r&b","British rhythm and blues was a musical movement that developed in the United Kingdom between the late 1950s and the early 1960s, and reached a peak in the mid-1960s.",britischen_rhythm_and_blues,CHECK
,bn:00964180n,n,"british_blues, english_blues, british_blues_music, british_blues_boom, british_acoustic_blues, british_electric_blues","British blues is a form of music derived from American blues that originated in the late 1950s, and reached its height of mainstream popularity in the 1960s.","britischer_blues, british_blues, britblues",CHECK
,bn:00140668n,n,"uk_hip_hop, british_hip_hop, uk_hip-hop, uk_rap, u.k_hip_hop, 1980s_british_hip_hop, brit_hip_hop, u.k._hip-hop, brithop, british_hiphop, road_rap, english_rapper, english_hip-hop, knowledge, british_rapper, british_trap, u._k._hip_hop, brit-hop, brit_rap, british_rap, u.k_hip-hop, britcore, brit_hop, english_hip_hop, english_rap, british_hip-hop, u.k._hip_hop, uk_trap, u._k._hip-hop","British hip hop, also known as UK rap, is a genre of music, and a culture that covers a variety of styles of hip hop music made in the United Kingdom.","britischer_hip-hop, hip-hop_in_england",CHECK
,bn:03840337n,n,"british_rock, british_rock_music, english_rock, rock_music_of_the_united_kingdom, english_rock_music, british_heavy_metal, british_bands, british_metal, britrock, rock_music_in_the_united_kingdom",British rock describes a wide variety of forms of music made in the United Kingdom.,britrock,CHECK
,bn:00841580n,n,brukdown,Brukdown is a genre of Belizean music.,brukdown,CHECK
,bn:02449420n,n,bubu_music,Bubu music is traditional music played by the Temne people in Sierra Leone.,bubu,CHECK
,bn:03886547n,n,"byzantine_music, byzantine_chant, psaltic",Byzantine music is the music of the Byzantine Empire.,"byzantinische_musik, byzantinischen_musik",CHECK
,bn:01155919n,n,"ca_trù, ca_tru, hat_a_dao, hat_noi, ca_trù_singing, hát_ả_đào","Ca trù, also known as hát cô đầu or hát nói, is a Vietnamese genre of musical storytelling performed by a featuring female vocalist, with origins in northern Vietnam.","ca_trù, ca_tru",CHECK
,bn:02441367n,n,cabaletta,Cabaletta is a two-part musical form particularly favored for arias in 19th century Italian opera in the belcanto era until about the 1850s during which it was one of the era's most important elements.,cabaletta,CHECK
,bn:02587576n,n,cajun_fiddle,Cajun fiddle music is a part of the American fiddle music canon.,cajun_fiddle,CHECK
,bn:02102153n,n,"campursari, campur_sari","Campursari or Javanese Pop in Indonesian refers to a crossover of several contemporary Indonesian music genres, mainly Javanese Langgam Jawa and Dangdut.",campursari,CHECK
,bn:01814452n,n,"canterbury_scene, canterbury_sound, canterbury_rock, canterburyany_part_sound, canterbury","The Canterbury scene was a musical scene centred around the city of Canterbury, Kent, England during the late 1960s and early 1970s.","canterbury-szene, canterbury_sound, canterbury_scene",CHECK
,bn:14120863n,n,,Cantina ist ein Song des deutschen EDM-Produzenten und DJs Bastian Van Shield in Zusammenarbeit mit dem deutschen Housemusik-Duo Spencer & Hill.,cantina,CHECK
,bn:03158245n,n,"cantu_a_tenore, mea'oke, tenores, canto_a_tenore, a_tenore","The cantu a tenòre or canto a tenore in Italian is a style of polyphonic folk singing characteristic of the island of Sardinia, particularly the region of Barbagia, though some other Sardinian sub-regions bear examples of such tradition.",cantu_a_tenore,CHECK
,bn:03520114n,n,cape_jazz,"Cape jazz is a genre of jazz that is performed in the very southern part of Africa, the name being a reference to Cape Town, South Africa.","cape_jazz, cape-jazz",CHECK
,bn:02293087n,n,"celempungan, celempung","Celempungan is a Sundanese musical genre that includes several musical instruments such as Kacapi, Kendang, Goong/Gong, and Suling or Rebab, and Juru Kawih.","celempung, chelempung",CHECK
,bn:03805012n,n,cello_rock,"Cello rock and cello metal are subgenres of rock music characterized by the use of cellos as primary instruments, alongside or in place of more traditional rock instruments such as electric guitars, electric bass guitar, and drum set.",cello-metal-band,CHECK
,bn:03580350n,n,celtic_metal,Celtic metal is a subgenre of folk metal that developed in the 1990s in Ireland.,celtic_metal,CHECK
,bn:02499335n,n,"celtic_punk, irish_punk, jig_punk, paddy_punk, celtcore",Celtic punk is punk rock mixed with traditional Celtic music.,Celtic_punk,CHECK
,bn:00994946n,n,"folk_punk, 2000s_folk_punk, 1990s_folk_punk, folk-punk, rogue_folk, 1970s_folk_punk, list_of_folk_punk_bands, folkcore",Folk punk is a fusion of folk music and punk rock.,"celtic_punk, folk-punk, folk_punk, folkpunk, high_speed_folk, folk-punk-band",CHECK
,bn:12856454n,n,,Optional.empty,cevenas_75,CHECK
,bn:03523204n,n,"algerian_chaabi, chaabi","Chaabi is a traditional music of Algiers, formalized by El Hadj M'Hamed El Anka.",chaâbi,CHECK
,bn:02647323n,n,"changüí, changui, changuí","Changüí is a style of Cuban music which originated in the early 19th century in the eastern region of Guantánamo Province, specifically Baracoa.","changüi, changui, changuí, changüí",CHECK
,bn:13942760n,n,,"Les chansons traditionnelles en occitan sont surtout chantées dans les régions où est parlé l'occitan, principalement le sud de la France.",chanson_traditionnelle_en_occitan,CHECK
,bn:16961578n,n,,"Charade ist ein Popsong von Henry Mancini und Johnny Mercer, der 1963 veröffentlicht wurde.",charade,CHECK
,bn:00959269n,n,"chicago_blues, chicago_electric_blues","The Chicago blues is a form of blues music developed in Chicago, Illinois.",chicago_blues,CHECK
,bn:01503091n,n,"chicago_house, classic_house, chicago_house_music",Chicago house refers to house music produced during the mid to late 1980s within Chicago.,chicago_house,CHECK
,bn:02413978n,n,chicago_soul,Chicago soul is a style of soul music that arose during the 1960s in Chicago.,chicago_seele,CHECK
,bn:03873122n,n,"chicano_rap, chicana_rap, sureno_rap, mexican_rap",Chicano rap is a subgenre of Hip Hop that embodies aspects of Southwest Mexican American or Chicano culture.,chicano_rap,CHECK
,bn:01368277n,n,"chillout, chill_out, chill-out_music, chill-out, chillout_music, chill_music, chill_out_music, lofi_hip_hop_music, chillhop, lo-fi_hip-hop_music, lofi_hip_hop, flamenco_chill, lo-fi_rap, lo-fi_hip_hop, down-tempo_chill_music",Chill-out is a loosely defined form of popular music characterized by slow tempos and relaxed moods.,"chill-out, chillen, chillout, chill-out-zone, chillaxen, tschün, chiller, chüün, chill-out_musik, chill-out-musik, chillout-musik",CHECK
,bn:01894017n,n,"chillwave, downtempo_pop, hipster_runoff, dream-beat, chill_wave, hypnagogic_pop, glo-fi",Chillwave is a music microgenre that emerged in the late 2000s.,chillwave,CHECK
